RANK,TEAM,RECORD,PF,PA,OVER,OFF,PASS,PBLK,RECV,RUN,RBLK,DEF,RDEF,TACK,PRSH,COV,SPEC
,Arizona Cardinals,5 - 10 - 1,361,442,71.6,69.7,61.9,77.4,67.7,81.1,56.0,62.7,70.4,44.4,74.7,41.8,63.7
,Atlanta Falcons,7 - 9,381,399,78.7,75.8,73.5,64.2,81.9,62.6,63.9,66.4,68.9,57.8,72.9,52.6,68.2
,Baltimore Ravens,14 - 2,531,282,92.6,85.6,80.8,87.0,76.1,88.3,78.2,75.1,71.5,56.4,64.6,85.3,83.8
,Buffalo Bills,10 - 6,314,259,79.6,68.0,60.0,71.8,68.7,72.7,60.5,78.4,67.8,36.2,71.6,90.5,82.0
,Carolina Panthers,5 - 11,340,470,68.0,64.8,46.8,67.1,70.6,66.9,59.3,67.1,55.1,59.9,70.7,76.0,60.2
,Chicago Bears,8 - 8,280,298,75.5,66.1,65.3,69.2,67.2,59.4,58.5,75.9,76.2,67.4,71.1,76.8,80.5
,Cincinnati Bengals,2 - 14,279,420,66.5,62.2,57.7,63.7,66.7,72.4,46.8,64.2,67.1,44.5,68.8,51.0,81.9
,Cleveland Browns,6 - 10,335,393,72.6,71.8,73.0,71.3,71.4,88.8,51.7,61.1,55.6,46.2,70.5,59.8,74.9
,Dallas Cowboys,8 - 8,434,321,91.8,83.1,76.5,78.3,78.6,88.6,71.8,78.6,73.5,59.6,73.1,88.7,45.5
,Denver Broncos,7 - 9,282,316,83.7,69.9,58.8,74.3,71.1,78.1,61.1,83.6,91.2,72.6,65.3,81.5,65.7
,Detroit Lions,3 - 12 - 1,341,423,74.0,73.9,69.1,68.5,76.2,70.1,65.7,59.8,63.9,54.6,62.0,50.3,62.6
,Green Bay Packers,13 - 3,376,313,87.8,77.4,79.9,80.8,69.7,79.6,70.1,79.3,65.0,57.1,79.8,88.0,65.2
,Houston Texans,10 - 6,378,385,77.0,75.7,74.1,78.2,76.8,86.9,51.7,64.4,68.0,46.3,69.1,53.3,71.7
,Indianapolis Colts,7 - 9,361,373,81.8,75.0,60.2,75.1,65.8,78.7,85.1,74.8,69.9,65.5,68.9,75.6,66.0
,Jacksonville Jaguars,6 - 10,300,397,67.4,66.6,69.7,67.0,67.8,63.1,54.5,60.8,56.6,35.5,74.3,50.6,54.9
,Kansas City Chiefs,12 - 4,451,308,81.1,76.8,78.9,77.2,79.3,68.0,56.2,64.5,58.2,49.8,63.5,70.2,90.6
,Los Angeles Chargers,5 - 11,337,345,78.7,72.2,73.9,59.9,77.2,77.1,52.2,72.4,67.1,40.5,70.4,78.9,80.1
,Los Angeles Rams,9 - 7,394,364,87.0,74.3,71.9,61.7,81.2,77.6,52.9,83.4,75.1,62.2,84.1,84.2,62.9
,Miami Dolphins,5 - 11,306,494,58.9,62.7,69.7,46.1,67.2,66.5,43.5,53.3,61.6,47.4,56.1,38.9,60.4
,Minnesota Vikings,10 - 6,407,303,91.9,79.4,86.6,65.2,81.0,78.7,63.3,85.7,75.4,88.8,74.1,91.2,70.9
,New England Patriots,12 - 4,420,225,89.7,74.3,76.8,74.1,70.4,73.0,63.1,87.9,76.0,70.0,71.8,92.6,83.5
,New Orleans Saints,13 - 3,458,341,93.5,85.6,88.8,82.5,80.5,77.8,73.9,79.8,83.8,69.3,79.0,70.2,82.8
,New York Giants,4 - 12,341,451,74.5,70.7,65.3,71.5,71.8,71.0,57.1,65.8,78.6,55.9,65.5,44.7,74.5
,New York Jets,7 - 9,276,359,72.7,64.3,59.7,62.4,72.3,64.9,46.9,74.3,78.2,54.6,67.1,72.2,77.8
,Oakland Raiders,7 - 9,313,419,74.6,76.2,80.4,74.0,74.4,81.4,59.6,60.9,72.7,39.2,68.2,46.3,53.8
,Philadelphia Eagles,9 - 7,385,354,85.5,79.7,75.5,81.1,71.0,63.7,88.4,70.7,68.7,47.1,79.2,60.7,77.4
,Pittsburgh Steelers,8 - 8,289,303,81.8,60.2,48.9,79.3,60.2,60.2,56.7,91.0,89.5,56.5,90.8,89.9,73.7
,San Francisco 49ers,13 - 3,479,310,93.2,81.2,74.6,70.4,84.8,82.9,68.1,89.7,73.9,48.8,80.3,92.5,71.8
,Seattle Seahawks,11 - 5,405,398,83.7,78.2,90.4,61.2,77.5,78.0,59.9,71.1,72.0,44.3,62.7,75.0,76.0
,Tampa Bay Buccaneers,7 - 9,458,449,84.4,78.1,66.4,76.6,84.5,70.8,63.1,74.3,79.0,47.5,73.5,69.5,56.3
,Tennessee Titans,9 - 7,402,331,92.1,83.7,84.9,74.9,83.7,83.3,67.5,77.0,88.4,74.8,66.0,68.9,79.8
,Washington Redskins,3 - 13,266,435,68.6,67.3,59.3,67.3,68.1,73.3,62.6,62.4,60.9,61.4,69.1,56.5,66.8
,,,,,,,,,,,,,,,,,
