#G,SNP,ATT,YDS,YPA,TD,FUM,OFF,RUN,FUM.1,RBLK,YCO,YCO/A,MTF,LNG,10+,ZONE,GAP,SCR,SYDS,DYDS,D15+,BAY,BAY%,1ST,RECV,PBLK,TGT,REC,YDS.1,RSNP,Y/RR,DRP,PFR_ID
15.0,124.0,100.0,534,5.3,3.0,1.0,81.4,90.6,69.3,61.0,347,3.47,26.0,30.0,16.0,38.0,54.0,0.0,0.0,534,6.0,130.0,24.3,24.0,42.7,80.1,24.0,19.0,137.0,152.0,0.9,4.0,JohnDE04
16.0,162.0,134.0,733,5.5,2.0,2.0,86.0,90.3,63.8,74.7,478,3.57,27.0,58.0,17.0,69.0,56.0,0.0,0.0,733,9.0,223.0,30.4,35.0,64.9,50.3,46.0,41.0,349.0,184.0,1.9,3.0,PollTo00
17.0,381.0,332.0,1811,5.5,18.0,4.0,87.1,90.0,62.6,55.5,1272,3.83,66.0,83.0,50.0,210.0,115.0,0.0,0.0,1811,23.0,700.0,38.7,106.0,62.5,31.2,48.0,40.0,360.0,292.0,1.23,3.0,TaylJo02
18.0,218.0,194.0,828,4.3,6.0,2.0,86.2,89.7,67.8,48.5,609,3.14,31.0,36.0,9.0,126.0,65.0,0.0,0.0,828,4.0,93.0,11.2,52.0,64.8,57.7,37.0,34.0,313.0,207.0,1.51,1.0,DillAJ00
16.0,250.0,211.0,959,4.5,15.0,2.0,86.6,84.7,68.7,60.3,576,2.73,39.0,64.0,23.0,44.0,149.0,0.0,0.0,959,12.0,317.0,33.1,56.0,69.9,49.7,21.0,19.0,139.0,120.0,1.16,0.0,HarrDa06
16.0,126.0,103.0,433,4.2,2.0,0.0,78.8,84.4,73.0,63.9,291,2.83,18.0,29.0,9.0,86.0,13.0,0.0,0.0,433,4.0,96.0,22.2,24.0,54.6,61.5,16.0,14.0,96.0,141.0,0.68,2.0,HerbKh00
10.0,133.0,119.0,749,6.3,6.0,0.0,80.5,83.7,89.3,60.2,538,4.52,27.0,62.0,19.0,78.0,40.0,0.0,0.0,749,13.0,392.0,52.3,28.0,49.5,71.0,7.0,6.0,48.0,98.0,0.49,1.0,PennRa00
16.0,218.0,203.0,918,4.5,8.0,3.0,77.8,83.4,53.0,60.0,633,3.12,45.0,70.0,23.0,124.0,76.0,0.0,0.0,918,6.0,193.0,21.0,49.0,52.9,41.4,34.0,28.0,213.0,247.0,0.86,3.0,GordMe00
16.0,206.0,183.0,840,4.6,4.0,2.0,82.0,83.1,69.2,78.0,576,3.15,39.0,57.0,17.0,130.0,49.0,0.0,0.0,840,8.0,213.0,25.4,40.0,72.6,67.5,74.0,61.0,520.0,342.0,1.52,5.0,JoneAa00
19.0,77.0,10.0,30,3.0,1.0,0.0,82.1,82.9,75.6,61.9,20,2.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,10.0,70.4,85.8,3.0,3.0,31.0,16.0,1.94,0.0,BurtMi00
16.0,274.0,230.0,955,4.2,9.0,2.0,79.5,82.8,74.8,47.8,683,2.97,60.0,35.0,23.0,168.0,57.0,0.0,0.0,955,8.0,169.0,17.7,48.0,63.0,75.3,69.0,58.0,392.0,329.0,1.19,5.0,JacoJo01
19.0,269.0,214.0,977,4.6,10.0,5.0,69.0,82.4,39.0,49.7,650,3.04,51.0,46.0,22.0,105.0,101.0,0.0,0.0,977,14.0,307.0,31.4,55.0,42.3,48.0,56.0,47.0,266.0,435.0,0.61,4.0,SingDe00
14.0,89.0,3.0,23,7.7,0.0,0.0,58.5,82.3,71.1,55.3,12,4.0,1.0,21.0,1.0,0.0,0.0,0.0,0.0,23,1.0,21.0,91.3,2.0,47.5,52.8,7.0,4.0,16.0,39.0,0.41,1.0,CabiJa00
20.0,407.0,359.0,1467,4.1,14.0,2.0,79.2,82.1,83.2,56.4,1089,3.03,53.0,32.0,36.0,224.0,125.0,0.0,0.0,1467,14.0,295.0,20.1,72.0,63.7,37.3,68.0,60.0,421.0,391.0,1.08,2.0,MixoJo00
13.0,169.0,141.0,633,4.5,5.0,2.0,81.1,81.4,57.1,54.8,444,3.15,32.0,21.0,20.0,24.0,105.0,0.0,0.0,633,5.0,89.0,14.1,35.0,61.8,50.3,21.0,18.0,156.0,94.0,1.66,1.0,StevRh00
14.0,250.0,228.0,1258,5.5,8.0,2.0,81.7,80.6,71.2,59.3,967,4.24,57.0,70.0,41.0,85.0,139.0,0.0,0.0,1258,17.0,454.0,36.1,62.0,63.7,80.5,25.0,20.0,174.0,185.0,0.94,0.0,ChubNi00
15.0,222.0,193.0,863,4.5,10.0,1.0,75.1,80.0,83.0,43.4,600,3.11,30.0,47.0,17.0,60.0,131.0,0.0,0.0,863,7.0,169.0,19.6,50.0,64.8,56.3,92.0,78.0,510.0,404.0,1.26,7.0,FourLe00
16.0,236.0,206.0,911,4.4,12.0,4.0,75.3,79.9,50.1,58.8,621,3.01,37.0,28.0,22.0,111.0,85.0,0.0,0.0,911,9.0,165.0,18.1,53.0,62.6,57.8,88.0,70.0,647.0,417.0,1.55,5.0,EkelAu00
6.0,28.0,23.0,89,3.9,1.0,0.0,79.0,79.3,78.3,60.0,70,3.04,6.0,12.0,2.0,16.0,7.0,0.0,0.0,89,0.0,0.0,0.0,5.0,60.7,75.7,2.0,2.0,3.0,22.0,0.14,0.0,TaylPa01
5.0,22.0,17.0,79,4.6,1.0,0.0,74.6,79.0,76.9,60.0,72,4.24,3.0,23.0,2.0,13.0,4.0,0.0,0.0,79,1.0,23.0,29.1,7.0,63.4,24.0,5.0,4.0,28.0,29.0,0.97,0.0,WillJo07
17.0,64.0,44.0,226,5.1,1.0,1.0,74.2,77.5,59.5,60.4,181,4.11,14.0,24.0,10.0,6.0,34.0,0.0,0.0,226,6.0,112.0,49.6,12.0,78.8,48.9,54.0,45.0,432.0,228.0,1.89,3.0,BoldBr00
