#G,SNP,ATT,YDS,YPA,TD,FUM,OFF,RUN,FUM.1,RBLK,YCO,YCO/A,MTF,LNG,10+,ZONE,GAP,SCR,SYDS,DYDS,D15+,BAY,BAY%,1ST,RECV,PBLK,TGT,REC,YDS.1,RSNP,Y/RR,DRP,PFR_ID
12.0,127.0,108.0,813,7.5,8.0,1.0,92.1,93.1,71.0,77.2,534,4.94,29.0,76.0,22.0,59.0,40.0,0.0,0.0,813,13.0,434.0,53.4,31.0,77.7,65.7,43.0,31.0,214.0,187.0,1.14,0.0,AchaDe00
7.0,68.0,47.0,396,8.4,2.0,0.0,92.4,92.5,83.0,65.7,267,5.68,14.0,60.0,12.0,28.0,15.0,0.0,0.0,396,7.0,240.0,60.6,19.0,82.1,35.9,10.0,9.0,93.0,51.0,1.82,0.0,MitcKe01
16.0,260.0,217.0,1045,4.8,18.0,4.0,84.7,91.3,45.6,59.1,728,3.35,53.0,49.0,30.0,148.0,63.0,0.0,0.0,1045,14.0,329.0,31.5,61.0,48.7,66.0,31.0,26.0,172.0,276.0,0.62,2.0,MostRa00
13.0,262.0,241.0,1205,5.0,12.0,3.0,80.4,90.5,62.9,59.1,788,3.27,48.0,56.0,28.0,90.0,150.0,0.0,0.0,1205,10.0,263.0,21.8,65.0,39.1,57.7,48.0,33.0,215.0,341.0,0.63,5.0,WillKy02
19.0,400.0,331.0,1727,5.2,18.0,4.0,90.3,90.3,65.8,30.2,1110,3.35,74.0,72.0,48.0,219.0,100.0,0.0,0.0,1727,22.0,595.0,34.5,98.0,86.5,28.4,104.0,86.0,716.0,525.0,1.36,1.0,McCaCh01
14.0,74.0,58.0,284,4.9,2.0,0.0,73.4,89.9,84.9,40.7,205,3.53,11.0,49.0,5.0,31.0,26.0,0.0,0.0,284,2.0,67.0,23.6,12.0,44.7,74.7,29.0,21.0,119.0,164.0,0.73,2.0,DemeEm00
13.0,262.0,208.0,1040,5.0,7.0,0.0,89.2,88.4,90.8,68.9,818,3.93,60.0,44.0,31.0,89.0,115.0,0.0,0.0,1040,13.0,328.0,31.5,57.0,69.2,68.0,31.0,27.0,165.0,201.0,0.82,0.0,ConnJa00
17.0,317.0,280.0,1167,4.2,12.0,0.0,90.1,86.8,91.4,58.0,930,3.32,57.0,69.0,23.0,160.0,119.0,0.0,0.0,1167,16.0,385.0,33.0,63.0,70.7,79.1,31.0,28.0,214.0,175.0,1.22,2.0,HenrDe00
13.0,207.0,181.0,883,4.9,5.0,2.0,80.9,85.7,66.0,57.8,609,3.36,37.0,53.0,21.0,119.0,61.0,0.0,0.0,883,8.0,220.0,24.9,48.0,56.4,63.2,47.0,34.0,254.0,202.0,1.26,6.0,JoneAa00
12.0,63.0,40.0,206,5.2,3.0,0.0,84.7,85.4,82.1,62.2,124,3.1,8.0,26.0,4.0,30.0,9.0,0.0,0.0,206,3.0,59.0,28.6,13.0,62.0,23.8,4.0,3.0,31.0,35.0,0.89,0.0,MasoJo00
15.0,234.0,219.0,900,4.1,8.0,1.0,83.5,85.3,86.0,58.7,637,2.91,54.0,45.0,24.0,141.0,63.0,0.0,0.0,900,10.0,252.0,28.0,46.0,71.0,40.7,33.0,29.0,259.0,200.0,1.3,2.0,WalkKe00
18.0,315.0,267.0,1061,4.0,7.0,3.0,77.5,84.7,66.9,62.8,764,2.86,46.0,31.0,22.0,133.0,122.0,0.0,0.0,1061,11.0,229.0,21.6,60.0,51.4,70.6,76.0,62.0,340.0,439.0,0.77,3.0,PollTo00
18.0,192.0,157.0,822,5.2,4.0,4.0,78.5,84.4,38.2,77.8,578,3.68,55.0,74.0,26.0,80.0,55.0,0.0,0.0,822,12.0,284.0,34.5,38.0,72.2,25.1,74.0,63.0,386.0,273.0,1.41,5.0,WarrJa01
17.0,272.0,258.0,1198,4.6,15.0,2.0,79.6,83.4,73.5,60.0,779,3.02,53.0,75.0,28.0,133.0,125.0,0.0,0.0,1198,10.0,252.0,21.0,71.0,58.4,29.7,29.0,22.0,162.0,209.0,0.78,2.0,MontDa01
17.0,85.0,76.0,410,5.4,1.0,0.0,86.2,82.8,87.0,60.0,257,3.38,18.0,38.0,12.0,54.0,17.0,0.0,0.0,410,4.0,113.0,27.6,16.0,85.2,34.6,36.0,31.0,160.0,98.0,1.63,0.0,McLaJa00
2.0,32.0,28.0,170,6.1,0.0,0.0,81.5,81.6,79.9,60.0,113,4.04,6.0,20.0,6.0,13.0,13.0,0.0,0.0,170,2.0,37.0,21.8,8.0,65.4,25.8,4.0,4.0,21.0,16.0,1.31,0.0,ChubNi00
18.0,247.0,211.0,1089,5.2,13.0,3.0,76.3,80.8,61.2,57.0,633,3.0,45.0,36.0,33.0,99.0,103.0,0.0,0.0,1089,17.0,411.0,37.7,50.0,67.4,26.8,83.0,63.0,410.0,372.0,1.1,5.0,GibbJa01
18.0,321.0,286.0,1248,4.4,10.0,3.0,79.9,80.2,78.0,59.3,828,2.9,45.0,48.0,28.0,158.0,120.0,0.0,0.0,1248,13.0,337.0,27.0,68.0,69.9,67.4,62.0,56.0,304.0,365.0,0.83,1.0,PachIs00
9.0,33.0,26.0,121,4.7,0.0,0.0,80.0,79.9,79.6,60.0,44,1.69,3.0,31.0,2.0,15.0,10.0,0.0,0.0,121,1.0,31.0,25.6,4.0,66.3,,6.0,5.0,34.0,22.0,1.55,0.0,WilsEm00
19.0,73.0,42.0,180,4.3,2.0,1.0,76.5,79.8,45.9,51.6,120,2.86,6.0,19.0,6.0,31.0,11.0,0.0,0.0,180,2.0,36.0,20.0,12.0,69.9,24.0,6.0,5.0,47.0,64.0,0.73,0.0,ReynCr00
12.0,173.0,132.0,611,4.6,2.0,1.0,77.9,79.4,72.8,45.8,400,3.03,32.0,38.0,13.0,87.0,45.0,0.0,0.0,611,7.0,183.0,30.0,25.0,67.5,53.3,26.0,20.0,134.0,146.0,0.92,0.0,HerbKh00
17.0,257.0,238.0,902,3.8,5.0,1.0,77.2,79.4,87.7,45.0,682,2.87,41.0,22.0,21.0,136.0,101.0,0.0,0.0,902,9.0,170.0,18.8,59.0,62.1,61.6,44.0,39.0,233.0,295.0,0.79,0.0,HubbCh01
4.0,31.0,19.0,106,5.6,0.0,0.0,82.0,79.1,77.1,78.2,107,5.63,8.0,52.0,2.0,14.0,5.0,0.0,0.0,106,2.0,80.0,75.5,2.0,53.4,,0.0,0.0,0.0,4.0,0.0,0.0,BrooCh00
10.0,63.0,45.0,198,4.4,0.0,1.0,78.7,79.1,52.2,77.8,135,3.0,9.0,15.0,5.0,19.0,26.0,0.0,0.0,186,1.0,15.0,7.6,14.0,64.1,58.9,10.0,8.0,76.0,50.0,1.52,0.0,JohnTy02
19.0,311.0,273.0,1262,4.6,2.0,4.0,71.7,79.1,56.2,56.0,733,2.68,42.0,42.0,35.0,111.0,151.0,0.0,0.0,1262,10.0,242.0,19.2,62.0,53.0,23.5,62.0,52.0,472.0,343.0,1.38,7.0,CookJa01
12.0,176.0,156.0,619,4.0,4.0,1.0,71.3,78.7,77.3,29.3,437,2.8,30.0,64.0,10.0,66.0,81.0,0.0,0.0,619,3.0,94.0,15.2,36.0,51.2,72.7,48.0,38.0,238.0,251.0,0.95,4.0,StevRh00
