#G,SNP,ATT,YDS,YPA,TD,FUM,OFF,RUN,FUM.1,RBLK,YCO,YCO/A,MTF,LNG,10+,ZONE,GAP,SCR,SYDS,DYDS,D15+,BAY,BAY%,1ST,RECV,PBLK,TGT,REC,YDS.1,RSNP,Y/RR,DRP,PFR_ID
16.0,144.0,131.0,722,5.5,3.0,1.0,77.8,85.9,76.0,42.0,421,3.21,22.0,35.0,24.0,64.0,51.0,0.0,0.0,714,9.0,187.0,25.9,45.0,63.7,63.3,69.0,58.0,388.0,317.0,1.22,3.0,PoweBi00
1.0,18.0,18.0,87,4.8,0.0,0.0,81.1,83.1,76.5,,51,2.83,1.0,14.0,2.0,8.0,10.0,0.0,0.0,87,0.0,0.0,0.0,6.0,26.4,79.6,2.0,0.0,0.0,4.0,0.0,2.0,WillAn00
15.0,131.0,101.0,577,5.7,8.0,0.0,79.2,82.0,66.5,58.3,338,3.35,16.0,44.0,16.0,42.0,51.0,0.0,0.0,577,10.0,251.0,43.5,39.0,58.2,54.0,11.0,9.0,50.0,104.0,0.48,0.0,GillMi00
12.0,94.0,88.0,382,4.3,2.0,1.0,72.5,81.7,66.9,60.0,259,2.94,26.0,20.0,12.0,54.0,26.0,0.0,0.0,382,6.0,102.0,26.7,26.0,52.1,39.9,40.0,30.0,162.0,127.0,1.28,4.0,DixoKe00
15.0,360.0,326.0,1625,5.0,9.0,4.0,78.2,80.1,65.3,58.9,994,3.05,54.0,44.0,45.0,93.0,202.0,0.0,0.0,1625,14.0,329.0,20.2,89.0,66.5,86.7,95.0,79.0,619.0,439.0,1.41,6.0,BellLe00
16.0,313.0,276.0,1306,4.7,8.0,4.0,77.3,79.9,56.1,59.5,932,3.38,59.0,62.0,39.0,233.0,41.0,0.0,0.0,1306,15.0,451.0,34.5,60.0,58.4,68.6,36.0,30.0,163.0,240.0,0.68,2.0,AjayJa00
15.0,273.0,252.0,1313,5.2,6.0,2.0,73.8,79.5,74.1,54.7,752,2.98,40.0,69.0,43.0,174.0,67.0,0.0,0.0,1313,19.0,485.0,36.9,71.0,41.0,81.9,46.0,29.0,298.0,303.0,0.98,8.0,HowaJo00
16.0,398.0,344.0,1756,5.1,15.0,5.0,77.2,77.9,63.6,60.8,1018,2.96,38.0,60.0,50.0,190.0,147.0,0.0,0.0,1756,23.0,572.0,32.6,97.0,62.4,56.9,38.0,33.0,361.0,288.0,1.25,1.0,ElliEz00
17.0,128.0,102.0,548,5.4,5.0,2.0,76.0,77.6,59.1,58.0,451,4.42,21.0,61.0,14.0,75.0,18.0,0.0,0.0,548,8.0,226.0,41.2,25.0,70.7,75.0,59.0,54.0,425.0,307.0,1.38,2.0,MontTy01
5.0,79.0,71.0,360,5.1,0.0,0.0,74.7,75.4,85.5,60.0,242,3.41,19.0,31.0,10.0,57.0,12.0,0.0,0.0,360,4.0,109.0,30.3,15.0,55.1,79.6,6.0,4.0,28.0,67.0,0.42,0.0,LacyEd00
11.0,78.0,74.0,344,4.6,2.0,1.0,75.9,75.3,62.3,59.9,224,3.03,11.0,17.0,8.0,36.0,36.0,0.0,0.0,344,3.0,50.0,14.5,23.0,67.5,73.7,20.0,17.0,145.0,108.0,1.34,0.0,BurkRe00
15.0,283.0,234.0,1267,5.4,13.0,3.0,78.6,75.3,77.0,52.6,567,2.42,43.0,75.0,34.0,67.0,159.0,0.0,0.0,1267,22.0,564.0,44.5,54.0,86.8,50.8,54.0,50.0,356.0,254.0,1.4,1.0,McCoLe01
4.0,4.0,2.0,15,7.5,0.0,0.0,84.1,75.0,71.9,60.0,8,4.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,15,0.0,0.0,0.0,0.0,56.4,,0.0,0.0,0.0,5.0,0.0,0.0,AndrAn00
11.0,173.0,147.0,544,3.7,4.0,0.0,75.2,74.9,90.2,61.0,343,2.33,22.0,45.0,15.0,104.0,40.0,0.0,0.0,544,5.0,136.0,25.0,33.0,55.8,87.0,18.0,14.0,97.0,142.0,0.68,1.0,RawlTh00
19.0,293.0,266.0,1241,4.7,13.0,1.0,76.4,73.8,87.1,52.5,613,2.3,40.0,75.0,34.0,199.0,58.0,0.0,0.0,1241,18.0,457.0,36.8,70.0,76.4,56.5,73.0,64.0,630.0,345.0,1.83,3.0,FreeDe00
16.0,48.0,38.0,129,3.4,3.0,1.0,74.9,73.7,50.0,55.7,108,2.84,14.0,23.0,5.0,29.0,4.0,0.0,0.0,129,3.0,53.0,41.1,8.0,82.0,45.3,29.0,24.0,253.0,106.0,2.39,0.0,WillDa05
17.0,95.0,86.0,494,5.7,1.0,0.0,79.6,73.1,91.0,60.0,309,3.59,21.0,75.0,10.0,23.0,50.0,0.0,0.0,494,7.0,201.0,40.7,14.0,82.4,83.6,41.0,31.0,202.0,135.0,1.5,3.0,RichJa01
17.0,37.0,33.0,179,5.4,2.0,0.0,65.6,72.5,86.6,60.0,85,2.58,5.0,45.0,4.0,26.0,6.0,0.0,0.0,179,2.0,61.0,34.1,9.0,47.7,84.4,11.0,9.0,46.0,68.0,0.68,2.0,DrakKe00
10.0,135.0,129.0,560,4.3,2.0,0.0,72.8,72.5,89.9,60.0,353,2.74,18.0,45.0,16.0,68.0,52.0,0.0,0.0,560,6.0,144.0,25.7,29.0,62.5,67.7,15.0,13.0,98.0,142.0,0.69,0.0,RodgJa00
16.0,110.0,5.0,22,4.4,1.0,0.0,75.6,72.1,79.2,67.7,14,2.8,0.0,10.0,1.0,2.0,0.0,0.0,0.0,22,0.0,0.0,0.0,3.0,71.1,91.0,42.0,37.0,266.0,242.0,1.1,1.0,JuszKy00
2.0,9.0,8.0,22,2.8,0.0,0.0,70.3,71.7,73.1,,12,1.5,3.0,4.0,0.0,7.0,1.0,0.0,0.0,22,0.0,0.0,0.0,0.0,57.5,66.3,1.0,1.0,6.0,12.0,0.5,0.0,PeadIs00
