#G,SNP,ATT,YDS,YPA,TD,FUM,OFF,RUN,FUM.1,RBLK,YCO,YCO/A,MTF,LNG,10+,ZONE,GAP,SCR,SYDS,DYDS,D15+,BAY,BAY%,1ST,RECV,PBLK,TGT,REC,YDS.1,RSNP,Y/RR,DRP,PFR_ID
17.0,374.0,340.0,1653,4.9,12.0,3.0,91.6,91.9,73.8,67.3,1156,3.4,90.0,86.0,41.0,93.0,201.0,1.0,1.0,1652,15.0,386.0,23.4,94.0,64.8,56.3,61.0,53.0,400.0,341.0,1.17,3.0,JacoJo01
11.0,71.0,45.0,270,6.0,1.0,0.0,92.9,91.0,82.2,58.8,190,4.22,10.0,55.0,7.0,27.0,17.0,0.0,0.0,270,3.0,92.0,34.1,11.0,52.9,75.4,0.0,0.0,0.0,11.0,0.0,0.0,MasoJo00
17.0,259.0,213.0,1121,5.3,2.0,5.0,86.1,90.7,37.4,60.2,677,3.18,53.0,36.0,31.0,139.0,71.0,0.0,0.0,1121,12.0,280.0,25.0,52.0,64.6,50.6,72.0,59.0,395.0,316.0,1.25,6.0,JoneAa00
17.0,336.0,302.0,1525,5.0,12.0,1.0,90.3,90.7,87.7,55.7,1050,3.48,83.0,41.0,47.0,126.0,160.0,0.0,0.0,1525,23.0,527.0,34.6,69.0,58.5,61.8,33.0,27.0,239.0,254.0,0.94,1.0,ChubNi00
11.0,40.0,30.0,160,5.3,1.0,0.0,71.2,90.2,81.9,54.4,121,4.03,12.0,32.0,6.0,16.0,12.0,0.0,0.0,160,3.0,70.0,43.8,5.0,43.3,55.3,21.0,12.0,88.0,99.0,0.89,2.0,JohnTy02
18.0,279.0,214.0,1106,5.2,9.0,0.0,90.2,90.0,91.0,58.4,805,3.76,51.0,57.0,35.0,100.0,103.0,0.0,0.0,1106,19.0,476.0,43.0,49.0,76.0,74.9,56.0,44.0,394.0,271.0,1.45,1.0,PollTo00
16.0,251.0,210.0,1035,4.9,3.0,0.0,86.7,88.0,90.8,51.9,752,3.58,51.0,44.0,21.0,170.0,39.0,0.0,0.0,1035,13.0,316.0,30.5,53.0,61.6,56.7,17.0,16.0,139.0,177.0,0.79,0.0,AllgTy00
5.0,19.0,16.0,84,5.3,1.0,0.0,86.2,86.8,77.9,60.0,67,4.19,2.0,17.0,1.0,11.0,5.0,0.0,0.0,84,1.0,17.0,20.2,4.0,78.4,83.9,9.0,8.0,99.0,34.0,2.91,0.0,MackMa00
16.0,383.0,349.0,1534,4.4,13.0,6.0,85.9,86.7,46.9,79.7,1257,3.6,69.0,56.0,37.0,197.0,147.0,0.0,0.0,1534,15.0,424.0,27.6,67.0,46.8,66.9,39.0,33.0,398.0,191.0,2.08,4.0,HenrDe00
17.0,222.0,186.0,771,4.1,7.0,1.0,80.1,86.3,79.6,70.0,536,2.88,23.0,27.0,15.0,111.0,72.0,0.0,0.0,771,6.0,120.0,15.6,47.0,50.6,70.3,39.0,28.0,206.0,252.0,0.82,5.0,DillAJ00
12.0,85.0,76.0,366,4.8,1.0,1.0,86.9,86.0,57.3,58.3,260,3.42,14.0,30.0,8.0,52.0,24.0,0.0,0.0,366,4.0,83.0,22.7,18.0,53.4,39.9,2.0,2.0,3.0,29.0,0.1,0.0,HuntCa02
