#G,SNP,ATT,YDS,YPA,TD,FUM,OFF,RUN,FUM.1,RBLK,YCO,YCO/A,MTF,LNG,10+,ZONE,GAP,SCR,SYDS,DYDS,D15+,BAY,BAY%,1ST,RECV,PBLK,TGT,REC,YDS.1,RSNP,Y/RR,DRP,PFR_ID
16.0,206.0,192.0,996,5.2,8.0,0.0,86.4,89.7,90.7,58.6,858,4.47,44.0,92.0,28.0,105.0,82.0,0.0,0.0,996,15.0,463.0,46.5,48.0,54.2,51.7,28.0,20.0,149.0,142.0,1.05,3.0,ChubNi00
14.0,252.0,201.0,940,4.7,12.0,1.0,83.6,89.4,82.9,64.5,532,2.65,41.0,34.0,28.0,61.0,132.0,0.0,0.0,940,15.0,315.0,33.5,52.0,60.6,48.1,64.0,52.0,504.0,273.0,1.85,7.0,GordMe00
16.0,249.0,215.0,1059,4.9,12.0,1.0,85.3,86.2,82.4,59.2,905,4.21,45.0,99.0,30.0,155.0,59.0,0.0,0.0,1059,9.0,292.0,27.6,51.0,48.4,83.7,18.0,15.0,99.0,115.0,0.86,0.0,HenrDe00
15.0,217.0,192.0,1037,5.4,9.0,0.0,82.4,85.1,90.9,70.7,451,2.35,22.0,65.0,30.0,90.0,91.0,0.0,0.0,1037,11.0,346.0,33.4,49.0,63.1,63.1,44.0,35.0,241.0,185.0,1.3,4.0,LindPh00
12.0,137.0,133.0,728,5.5,8.0,1.0,80.7,85.0,73.4,60.0,395,2.97,26.0,67.0,22.0,81.0,45.0,0.0,0.0,728,8.0,225.0,30.9,41.0,62.6,87.6,32.0,26.0,206.0,204.0,1.01,2.0,JoneAa00
11.0,213.0,181.0,824,4.6,7.0,0.0,81.6,84.1,90.6,53.7,606,3.35,43.0,45.0,23.0,110.0,66.0,0.0,0.0,824,12.0,277.0,33.6,46.0,69.3,69.8,33.0,26.0,378.0,254.0,1.49,3.0,HuntKa00
16.0,291.0,261.0,1307,5.0,11.0,0.0,85.2,83.8,91.5,56.1,872,3.34,40.0,78.0,31.0,176.0,78.0,0.0,0.0,1307,20.0,706.0,54.0,50.0,86.3,54.0,114.0,91.0,721.0,470.0,1.53,5.0,BarkSa00
14.0,259.0,236.0,1171,5.0,8.0,0.0,77.8,81.4,91.1,60.7,652,2.76,29.0,51.0,34.0,156.0,72.0,0.0,0.0,1171,23.0,538.0,45.9,61.0,60.3,39.3,54.0,43.0,296.0,274.0,1.08,4.0,MixoJo00
14.0,201.0,156.0,729,4.7,6.0,3.0,78.9,81.0,49.9,61.1,477,3.06,24.0,38.0,17.0,79.0,73.0,0.0,0.0,729,9.0,213.0,29.2,37.0,55.3,75.4,29.0,25.0,185.0,158.0,1.17,1.0,IngrMa01
18.0,153.0,10.0,45,4.5,0.0,0.0,62.1,80.6,75.3,73.0,26,2.6,1.0,9.0,0.0,0.0,4.0,0.0,0.0,45,0.0,0.0,0.0,7.0,33.5,51.6,10.0,5.0,14.0,69.0,0.2,3.0,LineZa01
