#G,SNP,ATT,YDS,YPA,TD,FUM,OFF,RUN,FUM.1,RBLK,YCO,YCO/A,MTF,LNG,10+,ZONE,GAP,SCR,SYDS,DYDS,D15+,BAY,BAY%,1ST,RECV,PBLK,TGT,REC,YDS.1,RSNP,Y/RR,DRP,PFR_ID
16.0,330.0,298.0,1494,5.0,8.0,3.0,88.7,90.3,68.7,60.3,1122,3.77,66.0,88.0,39.0,150.0,135.0,0.0,0.0,1494,20.0,574.0,38.4,62.0,56.5,77.8,45.0,36.0,278,293.0,0.95,3.0,ChubNi00
7.0,37.0,29.0,200,6.9,0.0,0.0,84.4,89.5,81.7,60.4,121,4.17,8.0,40.0,7.0,12.0,16.0,0.0,0.0,200,3.0,87.0,43.5,9.0,74.4,25.7,10.0,9.0,22,44.0,0.5,0.0,JackJu01
13.0,269.0,242.0,1150,4.8,7.0,1.0,87.1,86.9,83.9,59.2,842,3.48,69.0,51.0,25.0,171.0,70.0,0.0,0.0,1150,16.0,371.0,32.3,53.0,55.4,73.6,26.0,20.0,166,147.0,1.13,3.0,JacoJo01
15.0,103.0,86.0,455,5.3,2.0,1.0,82.9,84.1,67.8,73.2,388,4.51,23.0,44.0,12.0,52.0,32.0,0.0,0.0,455,5.0,146.0,32.1,21.0,72.1,19.4,20.0,15.0,107,81.0,1.32,1.0,PollTo00
18.0,223.0,190.0,1108,5.8,13.0,1.0,82.9,83.3,78.9,74.2,707,3.72,46.0,41.0,33.0,110.0,75.0,0.0,0.0,1108,19.0,418.0,37.7,48.0,61.0,60.9,24.0,17.0,188,180.0,1.04,2.0,MostRa00
16.0,346.0,301.0,1357,4.5,12.0,3.0,77.0,82.8,69.9,71.2,972,3.23,48.0,33.0,38.0,188.0,109.0,0.0,0.0,1357,12.0,251.0,18.5,77.0,56.2,50.8,68.0,54.0,419,465.0,0.9,6.0,ElliEz00
18.0,107.0,87.0,459,5.3,2.0,1.0,75.9,82.3,69.4,75.9,332,3.82,26.0,40.0,14.0,67.0,17.0,0.0,0.0,459,8.0,185.0,40.3,20.0,71.2,54.3,72.0,52.0,463,403.0,1.15,1.0,JohnDu00
13.0,64.0,51.0,307,6.0,2.0,0.0,69.8,81.7,83.7,69.3,183,3.59,12.0,55.0,9.0,22.0,28.0,0.0,0.0,307,4.0,123.0,40.1,12.0,40.4,28.4,11.0,7.0,43,85.0,0.51,2.0,WilkJo01
7.0,16.0,3.0,35,11.7,0.0,0.0,64.0,80.8,86.9,61.0,22,7.33,2.0,18.0,2.0,1.0,0.0,0.0,0.0,35,1.0,18.0,51.4,2.0,52.7,74.4,5.0,3.0,18,28.0,0.64,0.0,ErviTy00
18.0,430.0,386.0,1985,5.1,18.0,5.0,79.2,79.9,58.1,59.9,1605,4.16,71.0,74.0,52.0,289.0,95.0,0.0,0.0,1985,23.0,665.0,33.5,94.0,50.6,65.0,28.0,23.0,227,226.0,1.0,3.0,HenrDe00
15.0,320.0,278.0,1230,4.4,7.0,7.0,77.9,79.8,29.3,60.1,1008,3.63,62.0,59.0,32.0,190.0,83.0,0.0,0.0,1230,14.0,317.0,25.8,74.0,61.6,52.6,44.0,37.0,266,307.0,0.87,3.0,CarsCh00
16.0,322.0,287.0,1247,4.3,15.0,5.0,76.1,79.8,50.0,58.6,852,2.97,44.0,75.0,28.0,203.0,67.0,0.0,0.0,1247,14.0,355.0,28.5,67.0,59.7,37.3,73.0,62.0,563,317.0,1.78,8.0,CookDa01
18.0,295.0,268.0,1196,4.5,19.0,2.0,84.6,79.6,77.1,57.0,819,3.06,48.0,56.0,27.0,204.0,64.0,0.0,0.0,1196,14.0,318.0,26.6,63.0,84.3,67.5,74.0,56.0,511,351.0,1.46,4.0,JoneAa00
6.0,55.0,49.0,235,4.8,1.0,0.0,87.3,79.2,82.9,71.0,203,4.14,15.0,48.0,7.0,27.0,22.0,0.0,0.0,235,3.0,81.0,34.5,13.0,91.6,19.8,5.0,5.0,59,34.0,1.74,0.0,WillJo07
15.0,258.0,223.0,857,3.8,12.0,3.0,67.0,79.1,47.0,45.5,620,2.78,43.0,25.0,21.0,123.0,100.0,0.0,0.0,857,8.0,157.0,18.3,51.0,34.8,70.6,45.0,31.0,207,391.0,0.53,6.0,GurlTo01
16.0,263.0,224.0,1011,4.5,7.0,0.0,71.3,78.9,91.1,53.2,606,2.71,43.0,40.0,22.0,128.0,91.0,0.0,0.0,1011,11.0,271.0,26.8,39.0,50.7,19.5,46.0,35.0,196,211.0,0.93,6.0,LindPh00
7.0,59.0,49.0,273,5.6,3.0,0.0,78.1,78.5,83.0,60.0,163,3.33,7.0,59.0,5.0,33.0,15.0,0.0,0.0,273,3.0,124.0,45.4,9.0,43.6,79.8,4.0,3.0,17,20.0,0.85,1.0,BoonMi00
7.0,57.0,53.0,201,3.8,0.0,1.0,67.5,77.6,53.0,60.0,163,3.08,8.0,19.0,6.0,12.0,39.0,0.0,0.0,201,1.0,19.0,9.5,11.0,48.4,32.8,19.0,15.0,89,105.0,0.85,0.0,WaltMa00
18.0,322.0,274.0,1162,4.2,6.0,4.0,74.2,77.2,53.3,67.0,750,2.74,46.0,58.0,23.0,199.0,69.0,0.0,0.0,1162,9.0,289.0,24.9,58.0,49.0,56.5,19.0,14.0,65,244.0,0.27,1.0,HydeCa00
