#G,SNP,ATT,YDS,YPA,TD,FUM,OFF,RUN,FUM.1,RBLK,YCO,YCO/A,MTF,LNG,10+,ZONE,GAP,SCR,SYDS,DYDS,D15+,BAY,BAY%,1ST,RECV,PBLK,TGT,REC,YDS.1,RSNP,Y/RR,DRP,PFR_ID
13.0,47.0,32.0,253,7.9,2.0,0.0,92.0,87.5,52.7,61.3,150.0,4.69,7.0,58.0,7.0,22.0,7.0,0.0,0.0,253,3.0,134.0,53.0,10.0,92.5,69.0,7.0,6.0,100.0,15.0,6.67,0.0,GranCo00
15.0,242.0,212.0,973,4.6,6.0,4.0,83.4,86.9,43.9,59.8,631.0,2.98,34.0,50.0,27.0,98.0,103.0,0.0,0.0,973,16.0,353.0,36.3,51.0,38.8,39.4,32.0,23.0,187.0,108.0,1.73,4.0,CollAl00
18.0,172.0,141.0,794,5.6,9.0,1.0,90.4,85.3,81.4,60.1,504.0,3.57,30.0,74.0,28.0,71.0,55.0,0.0,0.0,794,13.0,302.0,38.0,43.0,91.3,59.6,106.0,86.0,898.0,343.0,2.62,6.0,KamaAl00
10.0,87.0,81.0,448,5.5,4.0,0.0,78.8,84.6,86.4,59.6,233.0,2.88,13.0,46.0,12.0,48.0,32.0,0.0,0.0,448,8.0,182.0,40.6,20.0,58.6,46.3,13.0,9.0,22.0,109.0,0.2,0.0,JoneAa00
19.0,240.0,213.0,1031,4.8,6.0,1.0,85.6,83.3,85.8,57.6,635.0,2.98,45.0,44.0,27.0,67.0,138.0,0.0,0.0,1031,12.0,274.0,26.6,53.0,73.2,84.3,51.0,48.0,325.0,206.0,1.58,0.0,LewiDi00
15.0,153.0,133.0,644,4.8,3.0,2.0,74.4,80.9,60.4,60.0,571.0,4.29,29.0,66.0,16.0,64.0,69.0,0.0,0.0,644,9.0,307.0,47.7,24.0,53.7,78.4,43.0,32.0,239.0,264.0,0.91,5.0,DrakKe00
17.0,326.0,283.0,1369,4.8,9.0,1.0,82.1,80.4,87.8,67.8,861.0,3.04,61.0,69.0,36.0,163.0,113.0,0.0,0.0,1369,20.0,537.0,39.2,62.0,76.8,45.7,65.0,56.0,460.0,328.0,1.4,3.0,HuntKa00
4.0,58.0,49.0,208,4.2,0.0,0.0,73.1,77.7,83.2,60.0,128.0,2.61,11.0,30.0,6.0,43.0,6.0,0.0,0.0,208,2.0,46.0,22.1,11.0,58.9,44.9,7.0,7.0,59.0,71.0,0.83,0.0,CarsCh00
16.0,268.0,245.0,1007,4.1,3.0,1.0,78.2,77.5,84.7,60.0,680.0,2.78,37.0,40.0,21.0,124.0,110.0,0.0,0.0,1007,9.0,220.0,21.8,47.0,57.4,88.0,35.0,28.0,224.0,241.0,0.93,3.0,AndeC.00
4.0,85.0,74.0,354,4.8,2.0,1.0,69.9,76.6,67.9,60.0,196.0,2.65,14.0,33.0,8.0,44.0,30.0,0.0,0.0,354,4.0,116.0,32.8,15.0,36.6,64.7,15.0,11.0,90.0,57.0,1.58,3.0,CookDa01
15.0,225.0,207.0,891,4.3,7.0,1.0,74.6,76.4,81.4,60.0,639.0,3.09,42.0,51.0,21.0,113.0,86.0,0.0,0.0,891,12.0,264.0,29.6,44.0,49.5,91.5,29.0,20.0,151.0,182.0,0.83,3.0,LyncMa00
16.0,334.0,293.0,1406,4.8,13.0,5.0,82.6,76.4,54.5,75.8,833.0,2.84,41.0,57.0,42.0,189.0,99.0,0.0,0.0,1406,17.0,436.0,31.0,69.0,87.8,71.0,85.0,68.0,798.0,408.0,1.96,5.0,GurlTo01
18.0,261.0,211.0,928,4.4,6.0,2.0,73.0,76.1,69.1,57.1,669.0,3.17,39.0,75.0,24.0,71.0,135.0,0.0,0.0,928,10.0,325.0,35.0,44.0,43.1,76.5,20.0,16.0,192.0,193.0,0.99,3.0,HenrDe00
14.0,203.0,178.0,626,3.5,4.0,3.0,72.1,74.5,50.9,73.8,433.0,2.43,19.0,25.0,17.0,96.0,75.0,0.0,0.0,626,6.0,113.0,18.1,35.0,52.2,48.5,34.0,30.0,287.0,157.0,1.83,2.0,MixoJo00
13.0,119.0,111.0,476,4.3,0.0,3.0,70.0,74.4,35.2,60.0,300.0,2.7,22.0,24.0,10.0,49.0,59.0,0.0,0.0,476,3.0,60.0,12.6,19.0,54.3,85.7,42.0,34.0,193.0,165.0,1.17,4.0,GallWa00
14.0,120.0,8.0,29,3.6,1.0,0.0,69.4,73.9,73.2,71.1,14.0,1.75,0.0,9.0,0.0,0.0,0.0,0.0,0.0,29,0.0,0.0,0.0,6.0,40.1,83.2,5.0,3.0,15.0,44.0,0.34,1.0,LineZa01
18.0,187.0,168.0,644,3.8,4.0,2.0,79.6,73.9,57.8,80.4,449.0,2.67,33.0,58.0,14.0,94.0,59.0,0.0,0.0,644,5.0,128.0,19.9,29.0,83.6,79.0,77.0,65.0,513.0,345.0,1.49,3.0,McKiJe00
14.0,103.0,93.0,358,3.8,3.0,1.0,68.0,72.8,67.8,59.6,288.0,3.1,14.0,35.0,12.0,72.0,18.0,0.0,0.0,358,7.0,164.0,45.8,21.0,53.8,57.7,30.0,21.0,225.0,161.0,1.4,4.0,MackMa00
13.0,49.0,32.0,144,4.5,0.0,0.0,70.7,72.5,80.3,60.0,70.0,2.19,2.0,23.0,6.0,14.0,17.0,0.0,0.0,144,1.0,23.0,16.0,4.0,50.7,15.7,0.0,0.0,0.0,18.0,0.0,0.0,ConnJa00
10.0,261.0,242.0,983,4.1,7.0,1.0,69.5,72.5,83.8,59.7,680.0,2.81,30.0,30.0,21.0,143.0,93.0,0.0,0.0,983,8.0,172.0,17.5,56.0,54.6,47.6,33.0,26.0,269.0,267.0,1.01,1.0,ElliEz00
16.0,249.0,224.0,938,4.2,8.0,4.0,68.9,71.9,49.2,59.7,583.0,2.6,39.0,44.0,24.0,167.0,52.0,0.0,0.0,938,13.0,277.0,29.5,51.0,60.5,67.5,48.0,42.0,346.0,303.0,1.14,5.0,FreeDe00
17.0,264.0,250.0,1057,4.2,1.0,4.0,66.9,71.9,50.7,60.0,783.0,3.13,53.0,71.0,28.0,153.0,91.0,0.0,0.0,1057,14.0,355.0,33.6,46.0,45.3,52.3,40.0,30.0,228.0,271.0,0.84,6.0,AjayJa00
16.0,117.0,105.0,465,4.4,2.0,1.0,63.9,71.5,70.1,59.7,220.0,2.1,14.0,33.0,17.0,75.0,24.0,0.0,0.0,465,3.0,78.0,16.8,22.0,51.0,28.9,34.0,21.0,180.0,159.0,1.13,6.0,BreiMa00
