#G,SNP,ATT,YDS,YPA,TD,FUM,OFF,RUN,FUM.1,RBLK,YCO,YCO/A,MTF,LNG,10+,ZONE,GAP,SCR,SYDS,DYDS,D15+,BAY,BAY%,1ST,RECV,PBLK,TGT,REC,YDS.1,RSNP,Y/RR,DRP,PFR_ID
19.0,413.0,366.0,1550,4.2,16.0,4.0,90.7,90.6,65.5,60.7,956.0,2.61,97.0,43.0,43.0,0.0,52.0,0.0,0.0,1550,18.0,418.0,27.0,82.0,62.5,82.0,46.0,37.0,319.0,315.0,1.01,1.0,LyncMa00
7.0,68.0,60.0,295,4.9,0.0,0.0,87.6,89.7,85.1,66.7,186.0,3.1,7.0,24.0,8.0,0.0,16.0,0.0,0.0,295,5.0,95.0,32.2,14.0,55.1,81.4,11.0,10.0,43.0,55.0,0.78,1.0,JameMi00
13.0,124.0,106.0,532,5.0,2.0,1.0,82.8,88.7,67.3,58.0,267.0,2.52,31.0,34.0,16.0,0.0,18.0,0.0,0.0,532,9.0,194.0,36.5,28.0,42.1,64.1,15.0,10.0,85.0,80.0,1.06,3.0,IngrMa01
15.0,148.0,118.0,652,5.5,3.0,1.0,84.2,88.4,73.4,68.4,372.0,3.15,20.0,80.0,24.0,0.0,26.0,0.0,0.0,652,12.0,312.0,47.9,27.0,68.8,81.3,57.0,39.0,371.0,220.0,1.69,6.0,ElliAn00
17.0,396.0,335.0,1684,5.0,10.0,1.0,87.0,87.1,90.6,57.2,783.0,2.34,58.0,57.0,48.0,0.0,82.0,0.0,0.0,1684,26.0,585.0,34.7,86.0,76.8,45.3,64.0,56.0,554.0,428.0,1.29,3.0,McCoLe01
16.0,310.0,263.0,1297,4.9,12.0,4.0,84.9,85.9,57.9,64.1,588.0,2.24,41.0,46.0,37.0,0.0,75.0,0.0,0.0,1297,20.0,435.0,33.5,74.0,70.0,77.6,95.0,70.0,693.0,396.0,1.75,10.0,CharJa00
16.0,331.0,305.0,1259,4.1,11.0,2.0,88.9,85.9,88.3,64.6,693.0,2.27,62.0,60.0,29.0,0.0,73.0,0.0,0.0,1259,9.0,255.0,20.3,68.0,62.5,88.4,44.0,37.0,264.0,252.0,1.05,3.0,LacyEd00
6.0,7.0,5.0,145,29.0,2.0,0.0,68.5,85.2,70.9,58.9,12.0,2.4,3.0,50.0,4.0,0.0,2.0,0.0,0.0,145,3.0,126.0,86.9,4.0,43.2,61.8,3.0,2.0,10.0,14.0,0.71,1.0,SmitAn01
2.0,13.0,7.0,61,8.7,0.0,0.0,80.9,82.4,72.3,60.6,41.0,5.86,3.0,26.0,2.0,0.0,4.0,0.0,0.0,61,2.0,44.0,72.1,2.0,69.9,38.5,3.0,2.0,19.0,12.0,1.58,0.0,GoodMi00
15.0,56.0,49.0,197,4.0,0.0,0.0,81.3,81.3,90.2,67.4,102.0,2.08,3.0,30.0,5.0,0.0,12.0,0.0,0.0,197,3.0,72.0,36.5,16.0,63.6,82.4,10.0,8.0,64.0,59.0,1.08,1.0,DwyeJo00
3.0,20.0,18.0,82,4.6,0.0,0.0,82.1,81.1,76.5,59.2,45.0,2.5,5.0,13.0,3.0,0.0,2.0,0.0,0.0,82,0.0,0.0,0.0,6.0,54.7,25.3,0.0,0.0,0.0,6.0,0.0,0.0,MichCh00
4.0,11.0,9.0,47,5.2,0.0,0.0,71.2,80.9,73.1,60.0,24.0,2.67,1.0,11.0,1.0,0.0,1.0,0.0,0.0,47,0.0,0.0,0.0,3.0,30.2,,2.0,1.0,14.0,12.0,1.17,1.0,AndeC.00
16.0,346.0,276.0,1275,4.6,7.0,5.0,80.4,80.8,42.8,64.6,748.0,2.71,46.0,45.0,29.0,0.0,38.0,0.0,0.0,1275,17.0,417.0,32.7,57.0,45.2,76.6,11.0,9.0,78.0,173.0,0.45,2.0,MorrAl00
14.0,102.0,94.0,522,5.6,3.0,1.0,79.8,80.6,64.7,58.3,282.0,3.0,20.0,41.0,14.0,0.0,17.0,0.0,0.0,522,6.0,184.0,35.2,29.0,63.6,62.8,14.0,11.0,102.0,95.0,1.07,1.0,StarJa00
14.0,298.0,279.0,1266,4.5,10.0,5.0,79.7,80.1,48.4,59.4,829.0,2.97,58.0,78.0,31.0,0.0,70.0,0.0,0.0,1266,16.0,459.0,36.3,60.0,54.3,73.7,37.0,29.0,171.0,260.0,0.66,3.0,PeteAd01
12.0,91.0,75.0,326,4.3,2.0,0.0,84.2,79.7,85.8,58.0,196.0,2.61,15.0,25.0,11.0,0.0,32.0,0.0,0.0,326,5.0,99.0,30.4,17.0,67.9,81.3,1.0,1.0,13.0,10.0,1.3,0.0,RobiKh00
12.0,167.0,150.0,566,3.8,5.0,1.0,80.5,79.3,77.3,57.5,414.0,2.76,22.0,80.0,14.0,0.0,50.0,0.0,0.0,566,5.0,186.0,32.9,23.0,75.7,59.5,18.0,15.0,46.0,106.0,0.43,0.0,RainBo00
2.0,13.0,12.0,51,4.3,0.0,0.0,77.1,79.2,77.0,,24.0,2.0,3.0,14.0,1.0,0.0,4.0,0.0,0.0,51,0.0,0.0,0.0,3.0,55.9,66.5,2.0,1.0,-1.0,18.0,-0.06,0.0,KariDe00
18.0,208.0,182.0,941,5.2,11.0,3.0,82.2,79.1,57.3,56.6,512.0,2.81,29.0,73.0,20.0,0.0,72.0,0.0,0.0,941,9.0,295.0,31.3,43.0,53.5,89.1,3.0,2.0,38.0,72.0,0.53,0.0,BlouLe00
15.0,216.0,182.0,833,4.6,3.0,2.0,73.7,78.3,67.1,55.0,548.0,3.01,37.0,69.0,17.0,0.0,45.0,0.0,0.0,833,12.0,362.0,43.5,34.0,28.0,55.0,8.0,2.0,10.0,71.0,0.14,4.0,IvorCh00
8.0,126.0,121.0,542,4.5,1.0,0.0,73.6,77.8,89.9,60.0,249.0,2.06,10.0,23.0,19.0,0.0,26.0,0.0,0.0,542,8.0,143.0,26.4,31.0,52.1,75.3,31.0,22.0,183.0,158.0,1.16,5.0,FostAr00
19.0,170.0,148.0,655,4.4,4.0,3.0,72.7,77.5,43.7,67.4,364.0,2.46,23.0,45.0,14.0,0.0,35.0,0.0,0.0,655,6.0,140.0,21.4,44.0,46.9,69.9,34.0,25.0,160.0,166.0,0.96,4.0,BallMo00
14.0,230.0,217.0,1124,5.2,9.0,3.0,79.8,77.2,64.0,56.8,588.0,2.71,37.0,43.0,32.0,0.0,46.0,0.0,0.0,1124,11.0,324.0,28.8,60.0,70.6,83.5,61.0,53.0,350.0,305.0,1.15,2.0,MurrDe00
14.0,44.0,36.0,283,7.9,2.0,1.0,71.4,76.9,74.5,64.3,136.0,3.78,14.0,41.0,11.0,0.0,13.0,0.0,0.0,283,5.0,135.0,47.7,13.0,57.1,69.2,18.0,13.0,88.0,107.0,0.82,2.0,GerhTo00
16.0,214.0,197.0,841,4.3,9.0,4.0,77.5,76.9,38.5,57.9,421.0,2.14,28.0,29.0,18.0,0.0,69.0,0.0,0.0,841,7.0,141.0,16.8,42.0,43.6,86.3,12.0,10.0,62.0,92.0,0.67,0.0,RidlSt00
16.0,58.0,47.0,182,3.9,0.0,0.0,79.2,76.6,84.6,59.6,98.0,2.09,3.0,24.0,5.0,0.0,15.0,0.0,0.0,182,1.0,24.0,13.2,12.0,81.1,83.0,33.0,29.0,179.0,150.0,1.19,1.0,LeonBr00
15.0,124.0,109.0,406,3.7,4.0,0.0,74.5,76.3,88.8,59.1,220.0,2.02,21.0,55.0,6.0,0.0,24.0,0.0,0.0,406,3.0,86.0,21.2,17.0,55.5,70.3,16.0,15.0,63.0,128.0,0.49,1.0,ThomDa03
16.0,251.0,206.0,890,4.3,9.0,3.0,76.6,76.2,70.3,56.5,528.0,2.56,31.0,59.0,21.0,0.0,29.0,0.0,0.0,890,6.0,140.0,15.7,54.0,64.5,81.6,61.0,47.0,387.0,271.0,1.43,5.0,JackFr02
16.0,173.0,147.0,549,3.7,2.0,1.0,79.1,76.1,79.6,62.9,323.0,2.2,21.0,18.0,14.0,0.0,35.0,0.0,0.0,549,3.0,52.0,9.5,31.0,81.3,73.8,82.0,77.0,513.0,301.0,1.7,3.0,ThomPi00
10.0,21.0,11.0,98,8.9,3.0,0.0,69.8,74.7,81.6,58.1,79.0,7.18,2.0,38.0,3.0,0.0,2.0,0.0,0.0,98,2.0,66.0,67.3,5.0,54.7,77.6,5.0,4.0,61.0,23.0,2.65,1.0,PolkCh00
13.0,261.0,244.0,860,3.5,8.0,1.0,71.6,74.6,85.0,65.2,516.0,2.11,36.0,43.0,13.0,0.0,46.0,0.0,0.0,860,5.0,130.0,15.1,48.0,59.7,65.6,62.0,45.0,399.0,328.0,1.22,7.0,BellLe00
8.0,31.0,30.0,150,5.0,0.0,1.0,71.6,74.4,34.2,,113.0,3.77,10.0,45.0,3.0,0.0,10.0,0.0,0.0,150,2.0,63.0,42.0,8.0,49.7,40.4,7.0,7.0,59.0,18.0,3.28,0.0,DunbLa00
15.0,207.0,163.0,733,4.5,6.0,0.0,78.6,74.3,90.7,59.3,456.0,2.8,16.0,80.0,10.0,0.0,80.0,0.0,0.0,733,7.0,203.0,27.7,35.0,82.0,67.0,39.0,36.0,292.0,212.0,1.38,0.0,JennRa00
14.0,192.0,181.0,771,4.3,4.0,5.0,67.3,73.9,29.9,58.1,431.0,2.38,41.0,60.0,20.0,0.0,38.0,0.0,0.0,771,6.0,150.0,19.5,34.0,41.4,59.5,42.0,34.0,140.0,212.0,0.66,3.0,TateBe00
1.0,6.0,6.0,21,3.5,0.0,0.0,74.8,73.4,70.6,,10.0,1.67,0.0,6.0,0.0,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,1.0,57.0,68.5,0.0,0.0,0.0,2.0,0.0,0.0,GillMi00
16.0,205.0,177.0,709,4.0,2.0,1.0,69.8,73.0,79.1,47.4,364.0,2.06,20.0,49.0,16.0,0.0,37.0,0.0,0.0,709,7.0,191.0,26.9,27.0,55.4,68.9,30.0,26.0,170.0,279.0,0.61,1.0,MillLa01
19.0,300.0,283.0,1196,4.2,11.0,2.0,73.6,72.1,78.5,65.9,564.0,1.99,24.0,31.0,30.0,0.0,73.0,0.0,0.0,1196,14.0,287.0,24.0,64.0,75.0,64.6,79.0,66.0,602.0,396.0,1.52,6.0,MoreKn00
17.0,212.0,182.0,745,4.1,5.0,2.0,76.6,72.0,69.4,71.5,411.0,2.26,25.0,35.0,16.0,0.0,60.0,0.0,0.0,745,8.0,172.0,23.1,34.0,74.0,84.9,80.0,63.0,587.0,342.0,1.72,5.0,BernGi00
12.0,163.0,157.0,543,3.5,6.0,0.0,69.9,71.5,90.4,60.0,319.0,2.03,18.0,50.0,8.0,0.0,27.0,0.0,0.0,543,5.0,131.0,24.1,26.0,52.0,83.5,44.0,33.0,191.0,172.0,1.11,5.0,JackSt00
18.0,144.0,130.0,655,5.0,7.0,1.0,72.2,71.3,73.5,57.7,393.0,3.02,26.0,51.0,17.0,0.0,64.0,0.0,0.0,655,9.0,231.0,35.3,24.0,68.7,65.5,38.0,32.0,264.0,192.0,1.38,3.0,BrowDo00
15.0,218.0,202.0,930,4.6,2.0,4.0,71.1,71.3,42.2,59.4,456.0,2.26,32.0,77.0,22.0,0.0,43.0,0.0,0.0,930,11.0,408.0,43.9,26.0,71.0,23.4,40.0,33.0,185.0,145.0,1.28,2.0,SpilC.00
16.0,191.0,166.0,653,3.9,8.0,4.0,76.0,69.8,49.3,57.5,395.0,2.38,33.0,20.0,15.0,0.0,39.0,0.0,0.0,653,5.0,89.0,13.6,41.0,83.7,77.2,64.0,53.0,547.0,288.0,1.9,6.0,BellJo01
18.0,208.0,5.0,10,2.0,1.0,0.0,64.4,69.4,71.8,68.9,5.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,4.0,54.0,54.8,4.0,4.0,62.0,105.0,0.59,0.0,DeveJa00
11.0,85.0,77.0,295,3.8,4.0,0.0,65.5,69.4,86.4,59.7,164.0,2.13,5.0,29.0,4.0,0.0,24.0,0.0,0.0,295,3.0,72.0,24.4,18.0,49.8,59.1,7.0,6.0,39.0,53.0,0.74,1.0,GreeSh00
19.0,119.0,91.0,304,3.3,0.0,0.0,67.6,69.4,66.8,56.3,190.0,2.09,13.0,15.0,6.0,0.0,16.0,0.0,0.0,304,1.0,15.0,4.9,10.0,50.4,83.9,12.0,9.0,69.0,106.0,0.65,1.0,TurbRo00
18.0,138.0,130.0,512,3.9,3.0,2.0,80.8,69.4,81.0,59.0,244.0,1.88,10.0,14.0,7.0,0.0,38.0,0.0,0.0,512,0.0,0.0,0.0,28.0,91.5,68.4,89.0,81.0,629.0,323.0,1.95,3.0,WoodDa02
19.0,115.0,92.0,405,4.4,3.0,1.0,65.2,69.3,65.4,56.9,232.0,2.52,15.0,45.0,13.0,0.0,48.0,0.0,0.0,405,7.0,203.0,50.1,21.0,44.0,62.5,4.0,2.0,13.0,86.0,0.15,1.0,HuntKe00
14.0,258.0,223.0,1006,4.5,4.0,5.0,72.4,69.3,39.3,57.4,468.0,2.1,42.0,39.0,29.0,0.0,86.0,0.0,0.0,1006,13.0,312.0,31.0,48.0,73.2,70.4,76.0,54.0,506.0,302.0,1.68,9.0,BushRe00
14.0,268.0,250.0,976,3.9,7.0,1.0,69.6,68.9,84.3,65.7,612.0,2.45,29.0,40.0,23.0,0.0,137.0,0.0,0.0,976,10.0,243.0,24.9,47.0,53.4,86.9,33.0,26.0,141.0,215.0,0.66,2.0,StacZa00
16.0,184.0,46.0,218,4.7,2.0,0.0,66.7,68.8,84.5,66.4,146.0,3.17,6.0,63.0,4.0,0.0,32.0,0.0,0.0,218,1.0,63.0,28.9,8.0,56.9,91.1,53.0,32.0,331.0,267.0,1.24,4.0,ReecMa00
18.0,333.0,302.0,1329,4.4,6.0,2.0,71.5,68.8,78.0,56.9,689.0,2.28,28.0,51.0,28.0,0.0,84.0,0.0,0.0,1329,12.0,307.0,23.1,57.0,74.7,59.9,31.0,28.0,201.0,133.0,1.51,2.0,MathRy00
3.0,46.0,43.0,171,4.0,2.0,0.0,70.0,67.4,82.6,60.0,98.0,2.28,2.0,20.0,4.0,0.0,16.0,0.0,0.0,171,2.0,35.0,20.5,11.0,68.7,85.5,9.0,8.0,57.0,42.0,1.36,0.0,BakeEd01
14.0,61.0,44.0,164,3.7,1.0,0.0,70.1,67.4,88.5,55.1,97.0,2.2,2.0,17.0,4.0,0.0,12.0,0.0,0.0,164,2.0,33.0,20.1,9.0,74.3,68.6,33.0,28.0,224.0,117.0,1.91,2.0,SnelJa00
13.0,167.0,12.0,46,3.8,1.0,0.0,66.1,67.3,75.9,61.6,32.0,2.67,3.0,16.0,1.0,0.0,1.0,0.0,0.0,46,1.0,16.0,34.8,3.0,75.6,36.9,8.0,7.0,79.0,40.0,1.98,0.0,SummFr00
14.0,60.0,46.0,170,3.7,0.0,0.0,62.5,67.3,85.5,58.3,87.0,1.89,4.0,20.0,2.0,0.0,5.0,0.0,0.0,170,1.0,20.0,11.8,8.0,34.2,81.1,9.0,5.0,15.0,45.0,0.33,2.0,ChoiTa00
16.0,319.0,289.0,1339,4.6,9.0,3.0,72.4,67.1,79.6,58.0,684.0,2.37,39.0,55.0,41.0,0.0,94.0,0.0,0.0,1339,20.0,493.0,36.8,74.0,79.9,67.7,86.0,74.0,594.0,433.0,1.37,5.0,FortMa00
16.0,253.0,206.0,856,4.2,3.0,3.0,68.7,67.0,63.4,55.9,475.0,2.31,29.0,43.0,21.0,0.0,119.0,0.0,0.0,856,9.0,214.0,25.0,36.0,59.3,89.6,32.0,26.0,333.0,171.0,1.95,1.0,WillDe02
8.0,148.0,139.0,494,3.6,3.0,3.0,62.7,66.3,28.6,58.1,285.0,2.05,12.0,23.0,16.0,0.0,55.0,0.0,0.0,494,5.0,93.0,18.8,31.0,43.4,70.5,27.0,20.0,103.0,137.0,0.75,2.0,BrowAn03
