RANK,PLAYER,#,POS,#G,TEAM,TGT,REC,REC%,YDS,Y/REC,TD,OFF,RECV,DROP,FUM,PBLK,PASS,RECV,RT%,PBLK,PB%,SLOT,SLT%,WIDE,WID%,INL,INL%,YAC,YAC/REC,Y/RR,ADOT,LNG,DRP,DRP%,CTT,CTC,CTC%,INT,FUM,MTF,1ST,RTG
1,Julio Jones,# 11,WR,17,ATL,149,102,68.5,"1,743",17.1,9,93.5,93.4,67.6,83.6,62.3,572,540,94.4,1,0.2,159,27.8,412,72.0,0,0.0,529,5.2,3.23,14.0,75,8,7.3,12,7,58.3,4,0,10,81,116.8
2,Nick Williams,# 15,WR,2,ATL,6,5,83.3,59,11.8,0,93.6,92.2,73.4,68.0,-,12,12,100.0,0,0.0,12,100.0,0,0.0,0,0.0,40,8.0,4.92,4.2,19,0,0.0,0,0,,0,0,2,5,107.6
3,Mike Evans,# 13,WR,16,TB,168,96,57.1,"1,321",13.8,12,91.7,91.5,66.9,83.5,-,630,579,91.9,0,0.0,123,19.5,507,80.5,0,0.0,188,2.0,2.28,15.5,45,7,6.8,9,6,66.7,8,0,3,81,86.4
4,Rob Gronkowski,# 87,TE,8,NE,36,25,69.4,540,21.6,3,90.2,91.0,74.4,75.5,80.3,216,169,78.2,35,16.2,97,44.9,43,19.9,74,34.3,217,8.7,3.20,15.1,53,1,3.8,2,1,50.0,0,0,7,20,139.8
5,A.J. Green,# 18,WR,10,CIN,95,66,69.5,964,14.6,4,90.0,90.1,73.5,81.0,-,361,337,93.4,0,0.0,76,21.1,283,78.4,2,0.6,269,4.1,2.86,13.1,54,4,5.7,10,8,80.0,0,0,7,41,116.3
6,Antonio Brown,# 84,WR,18,PIT,179,124,69.3,"1,593",12.8,14,88.4,89.0,90.3,90.0,-,713,667,93.5,0,0.0,99,13.9,611,85.7,1,0.1,571,4.6,2.39,10.9,62,4,3.1,19,13,68.4,5,0,13,74,111.3
7,Travis Kelce,# 87,TE,17,KC,121,90,74.4,"1,202",13.4,4,88.9,88.5,71.9,82.9,74.8,608,535,88.0,44,7.2,246,40.5,157,25.8,204,33.6,690,7.7,2.25,7.2,80,7,7.2,7,6,85.7,0,0,11,57,116.5
8,Jordan Reed,# 86,TE,12,WAS,85,66,77.6,686,10.4,6,83.6,88.0,90.2,81.0,60.4,392,348,88.8,23,5.9,125,31.9,87,22.2,178,45.4,260,3.9,1.97,8.1,33,1,1.5,6,3,50.0,2,1,12,42,114.0
9,Jarvis Landry,# 14,WR,17,MIA,136,105,77.2,"1,238",11.8,4,84.6,86.5,84.1,31.4,-,573,546,95.3,0,0.0,417,72.8,154,26.9,1,0.2,676,6.4,2.27,6.7,71,5,4.5,8,3,37.5,3,1,22,60,105.0
10,Michael Thomas,# 13,WR,15,NO,119,92,77.3,"1,137",12.4,9,86.4,86.3,83.6,29.7,-,587,556,94.7,0,0.0,76,12.9,511,87.1,0,0.0,478,5.2,2.04,8.1,46,4,4.2,9,7,77.8,4,2,20,62,117.5
