RANK,PLAYER,#,POS,#G,TEAM,TGT,REC,REC%,YDS,Y/REC,TD,OFF,RECV,DROP,FUM,PBLK,PASS,RECV,RT%,PBLK,PB%,SLOT,SLT%,WIDE,WID%,INL,INL%,YAC,YAC/REC,Y/RR,ADOT,LNG,DRP,DRP%,CTT,CTC,CTC%,INT,FUM,MTF,1ST,RTG
1,Garrett Celek,# 88,TE,3,SF,2,2,100.0,53,26.5,0,91.8,91.6,68.3,64.0,75.0,14,9,64.3,4,28.6,1,7.1,0,0.0,13,92.9,8,4.0,5.89,22.5,31,0,0.0,0,0,,0,0,0,2,118.8
2,Rob Gronkowski,# 87,TE,18,NE,152,98,64.5,"1,328",13.6,15,91.3,91.4,57.3,83.5,76.9,687,574,83.6,72,10.5,285,41.5,153,22.3,241,35.1,535,5.5,2.31,10.2,46,9,8.4,0,0,,6,0,21,72,108.7
3,Odell Beckham Jr.,# 13,WR,12,NYG,129,91,70.5,"1,305",14.3,12,90.8,91.2,88.4,87.4,-,501,474,94.6,0,0.0,104,20.8,385,76.8,0,0.0,481,5.3,2.75,12.3,80,2,2.2,0,0,,2,0,15,57,127.6
4,Antonio Brown,# 84,WR,17,PIT,192,138,71.9,"1,815",13.2,13,91.1,91.1,90.2,74.3,-,729,690,94.7,0,0.0,131,18.0,589,80.8,2,0.3,641,4.6,2.63,10.7,63,5,3.5,0,0,,4,1,18,91,115.3
5,Chris Matthews,# 13,WR,5,SEA,5,4,80.0,109,27.3,1,91.0,90.6,72.1,67.0,-,21,21,100.0,0,0.0,4,19.0,17,81.0,0,0.0,10,2.5,5.19,29.6,45,0,0.0,0,0,,0,0,1,3,158.3
6,Dez Bryant,# 88,WR,18,DAL,142,94,66.2,"1,406",15.0,16,90.1,90.0,79.3,66.7,-,582,551,94.7,0,0.0,93,16.0,489,84.0,0,0.0,427,4.5,2.55,12.9,68,5,5.1,0,0,,5,1,20,63,121.4
7,Emmanuel Sanders,# 10,WR,17,DEN,155,108,69.7,"1,455",13.5,9,86.4,88.3,90.4,63.1,-,663,621,93.7,0,0.0,243,36.7,418,63.0,0,0.0,397,3.7,2.34,13.0,48,2,1.8,0,0,,2,1,8,71,113.2
8,Calvin Johnson,# 81,WR,14,DET,131,76,58.0,"1,162",15.3,8,89.5,88.2,61.4,81.8,-,537,512,95.3,0,0.0,76,14.2,461,85.8,0,0.0,268,3.5,2.27,15.6,67,7,8.4,0,0,,4,0,2,63,95.0
9,Julio Jones,# 11,WR,15,ATL,156,104,66.7,"1,593",15.3,6,89.8,88.0,63.5,34.8,-,616,585,95.0,0,0.0,79,12.8,534,86.7,0,0.0,553,5.3,2.72,12.4,79,8,7.1,0,0,,4,2,16,76,102.3
10,Demaryius Thomas,# 88,WR,17,DEN,189,116,61.4,"1,678",14.5,12,87.9,87.7,56.9,84.7,-,674,630,93.5,0,0.0,128,19.0,546,81.0,0,0.0,681,5.9,2.66,10.7,86,11,8.7,0,0,,6,0,11,73,98.2
