RANK,PLAYER,#,POS,#G,TEAM,TGT,REC,REC%,YDS,Y/REC,TD,OFF,RECV,DROP,FUM,PBLK,PASS,RECV,RT%,PBLK,PB%,SLOT,SLT%,WIDE,WID%,INL,INL%,YAC,YAC/REC,Y/RR,ADOT,LNG,DRP,DRP%,CTT,CTC,CTC%,INT,FUM,MTF,1ST,RTG
1,Michael Thomas,# 13,WR,18,NO,161,119,73.9,"1,461",12.3,7,91.4,91.6,90.7,84.7,-,621,594,95.7,0,0.0,154,24.8,467,75.2,0,0.0,515,4.3,2.46,10.1,46,3,2.5,38,21,55.3,4,0,17,82,105.6
2,Julio Jones,# 11,WR,18,ATL,168,106,63.1,"1,639",15.5,4,91.8,91.5,58.0,84.1,-,562,539,95.9,0,0.0,125,22.2,436,77.6,0,0.0,549,5.2,3.04,13.9,53,10,8.6,49,17,34.7,3,0,13,79,95.8
3,Antonio Brown,# 84,WR,15,PIT,166,108,65.1,"1,665",15.4,11,91.3,91.3,79.7,28.7,-,627,586,93.5,0,0.0,78,12.4,548,87.4,1,0.2,502,4.6,2.84,14.4,57,5,4.4,45,24,53.3,6,3,12,74,105.1
4,Rob Gronkowski,# 87,TE,17,NE,126,85,67.5,"1,302",15.3,11,90.5,90.7,61.9,54.4,70.3,668,549,82.2,79,11.8,321,48.1,117,17.5,229,34.3,414,4.9,2.37,12.2,53,6,6.6,43,25,58.1,1,1,9,71,127.1
5,DeAndre Hopkins,# 10,WR,15,HST,164,96,58.5,"1,378",14.4,13,90.2,90.3,80.4,57.1,-,631,576,91.3,0,0.0,99,15.7,530,84.0,0,0.0,346,3.6,2.39,14.0,72,5,5.0,48,15,31.3,6,1,4,69,97.1
6,Ricky Seals-Jones,# 86,TE,8,ARZ,28,12,42.9,201,16.8,3,80.7,89.7,31.3,71.9,-,70,68,97.1,0,0.0,15,21.4,13,18.6,38,54.3,75,6.3,2.96,11.5,29,3,20.0,8,1,12.5,1,0,0,11,88.5
6,Keenan Allen,# 13,WR,16,LAC,147,102,69.4,"1,393",13.7,6,89.3,89.7,54.2,58.7,67.4,583,547,93.8,2,0.3,287,49.2,290,49.7,2,0.3,523,5.1,2.55,9.9,51,11,9.7,28,14,50.0,2,1,13,74,107.3
8,Zach Ertz,# 86,TE,17,PHI,123,92,74.8,"1,016",11.0,9,80.6,88.2,83.1,29.7,66.1,574,493,85.9,49,8.5,233,40.6,96,16.7,243,42.3,334,3.6,2.06,8.1,53,4,4.2,24,14,58.3,2,1,3,58,116.4
9,Travis Kelce,# 87,TE,16,KC,121,87,71.9,"1,104",12.7,9,83.3,87.1,66.1,83.0,51.2,590,528,89.5,35,5.9,271,45.9,138,23.4,174,29.5,441,5.1,2.09,9.6,44,7,7.4,15,6,40.0,3,0,16,58,114.5
10,Hunter Henry,# 86,TE,14,LAC,60,45,75.0,579,12.9,4,87.2,86.7,68.8,78.9,68.9,333,283,85.0,32,9.6,154,46.2,42,12.6,128,38.4,199,4.4,2.05,10.1,34,3,6.3,15,9,60.0,0,0,1,32,127.0
11,Adam Shaheen,# 87,TE,13,CHI,14,12,85.7,127,10.6,3,72.2,84.0,79.4,71.9,57.6,83,66,79.5,11,13.3,5,6.0,10,12.0,65,78.3,52,4.3,1.92,8.0,31,0,0.0,5,4,80.0,0,0,0,8,144.0
11,Stefon Diggs,# 14,WR,16,MIN,114,78,68.4,"1,056",13.5,9,82.6,84.0,79.5,83.2,-,571,529,92.6,0,0.0,132,23.1,432,75.7,6,1.1,380,4.9,2.00,11.3,61,5,6.0,28,18,64.3,2,0,9,52,116.7
13,Doug Baldwin,# 89,WR,16,SEA,112,75,67.0,991,13.2,8,84.4,83.3,90.5,81.8,79.6,601,543,90.3,5,0.8,434,72.2,141,23.5,24,4.0,260,3.5,1.83,13.3,54,1,1.3,22,5,22.7,4,0,8,44,103.7
14,Tyreek Hill,# 10,WR,16,KC,113,82,72.6,"1,270",15.5,7,79.9,82.8,64.1,88.6,61.6,574,543,94.6,1,0.2,208,36.2,343,59.8,1,0.2,525,6.4,2.34,11.5,79,7,7.9,16,9,56.3,1,0,10,43,126.3
15,A.J. Green,# 18,WR,16,CIN,134,75,56.0,"1,078",14.4,8,82.2,82.7,71.7,27.8,-,543,517,95.2,0,0.0,74,13.6,468,86.2,0,0.0,292,3.9,2.09,14.3,77,5,6.3,44,19,43.2,7,2,8,55,80.4
16,Golden Tate,# 15,WR,16,DET,117,92,78.6,"1,003",10.9,5,82.9,82.4,83.2,59.9,-,575,531,92.3,0,0.0,454,79.0,120,20.9,1,0.2,631,6.9,1.89,6.2,71,4,4.2,14,8,57.1,5,1,22,44,98.8
17,Chris Godwin,# 12,WR,16,TB,54,34,63.0,525,15.4,1,81.9,80.3,70.5,77.5,-,274,259,94.5,0,0.0,53,19.3,217,79.2,4,1.5,173,5.1,2.03,13.2,70,2,5.6,19,11,57.9,2,0,8,27,85.8
18,Jarvis Landry,# 14,WR,16,MIA,156,112,71.8,987,8.8,9,79.5,80.2,76.6,29.0,62.2,629,600,95.4,1,0.2,410,65.2,211,33.5,4,0.6,523,4.7,1.65,6.3,49,7,5.9,29,14,48.3,4,3,17,59,96.8
19,Adam Thielen,# 19,WR,18,MIN,152,100,65.8,"1,378",13.8,4,82.4,80.1,76.9,27.4,66.8,694,641,92.4,2,0.3,338,48.7,350,50.4,5,0.7,436,4.4,2.15,11.1,65,5,4.8,38,18,47.4,3,3,8,63,95.2
20,Robert Woods,# 17,WR,13,LA,94,65,69.1,923,14.2,5,81.0,79.7,78.6,46.1,81.5,428,405,94.6,5,1.2,136,31.8,286,66.8,6,1.4,313,4.8,2.28,11.3,94,3,4.4,10,4,40.0,0,1,6,43,118.4
21,Davante Adams,# 17,WR,14,GB,108,74,68.5,885,12.0,10,80.5,79.4,65.0,81.6,-,538,504,93.7,0,0.0,103,19.1,433,80.5,2,0.4,345,4.7,1.76,10.0,55,5,6.3,22,10,45.5,1,0,14,45,120.3
22,Allen Robinson II,# 15,WR,1,JAX,1,1,100.0,17,17.0,0,88.3,79.1,64.7,61.2,-,1,1,100.0,0,0.0,0,0.0,1,100.0,0,0.0,1,1.0,17.00,16.0,17,0,0.0,0,0,,0,0,0,1,118.8
23,Larry Fitzgerald,# 11,WR,16,ARZ,153,109,71.2,"1,156",10.6,6,80.0,78.8,90.4,60.3,74.5,702,650,92.6,3,0.4,434,61.8,257,36.6,9,1.3,418,3.8,1.78,8.5,37,4,3.5,40,18,45.0,1,1,9,66,103.3
24,Mike Evans,# 13,WR,15,TB,132,71,53.8,"1,001",14.1,5,79.3,78.7,77.0,81.7,-,628,591,94.1,0,0.0,132,21.0,496,79.0,0,0.0,108,1.5,1.69,14.6,42,4,5.3,54,23,42.6,5,1,2,55,75.3
25,David Morgan,# 89,TE,17,MIN,12,10,83.3,95,9.5,1,85.5,78.3,79.6,71.8,57.7,142,85,59.9,50,35.2,25,17.6,1,0.7,109,76.8,58,5.8,1.12,6.5,23,0,0.0,0,0,,0,0,1,5,127.4
26,Cooper Kupp,# 18,WR,16,LA,104,70,67.3,938,13.4,6,78.1,78.2,57.1,49.0,77.7,504,471,93.5,10,2.0,297,58.9,205,40.7,0,0.0,379,5.4,1.99,9.6,64,7,9.1,10,4,40.0,1,1,16,46,111.0
27,Alshon Jeffery,# 17,WR,19,PHI,131,69,52.7,"1,008",14.6,12,77.3,77.7,81.8,81.5,-,691,651,94.2,0,0.0,105,15.2,586,84.8,0,0.0,247,3.6,1.55,14.9,53,3,4.2,54,23,42.6,2,0,4,55,102.2
28,Delanie Walker,# 82,TE,18,TEN,118,83,70.3,930,11.2,3,78.0,77.5,80.5,29.1,67.8,576,509,88.4,35,6.1,296,51.4,93,16.1,182,31.6,308,3.7,1.83,10.0,42,4,4.6,21,15,71.4,5,2,4,48,84.4
29,Danny Amendola,# 80,WR,18,NE,111,87,78.4,"1,007",11.6,4,77.4,77.0,77.2,69.4,-,553,509,92.0,0,0.0,450,81.4,99,17.9,1,0.2,321,3.7,1.98,8.9,50,4,4.4,16,9,56.3,1,1,5,56,112.7
30,DeSean Jackson,# 11,WR,14,TB,87,50,57.5,668,13.4,3,76.8,76.8,86.6,79.9,-,465,436,93.8,0,0.0,93,20.0,371,79.8,0,0.0,190,3.8,1.53,16.3,41,1,2.0,19,6,31.6,4,0,1,36,74.3
31,Freddie Martino,# 16,WR,7,TB,6,5,83.3,96,19.2,0,76.5,76.6,73.4,68.0,-,29,28,96.6,0,0.0,2,6.9,27,93.1,0,0.0,35,7.0,3.43,11.0,39,0,0.0,2,1,50.0,0,0,2,4,118.8
32,Marquise Goodwin,# 11,WR,16,SF,99,56,56.6,962,17.2,2,77.1,76.5,48.3,80.5,-,508,494,97.2,0,0.0,128,25.2,378,74.4,0,0.0,193,3.4,1.95,16.0,83,6,9.7,22,11,50.0,2,0,6,46,88.0
33,Pierre Garcon,# 15,WR,8,SF,65,40,61.5,500,12.5,0,77.5,76.3,90.2,78.3,-,293,279,95.2,0,0.0,70,23.9,222,75.8,0,0.0,177,4.4,1.79,10.1,59,0,0.0,12,5,41.7,1,0,4,25,79.0
34,Josh Gordon,# 12,WR,5,CLV,41,18,43.9,335,18.6,1,76.2,76.0,69.0,73.9,-,179,168,93.9,0,0.0,42,23.5,136,76.0,1,0.6,113,6.3,1.99,17.5,54,1,5.3,14,5,35.7,1,0,2,12,70.7
35,Marvin Jones Jr.,# 11,WR,16,DET,105,61,58.1,"1,101",18.0,9,76.3,75.8,71.4,80.6,65.0,674,626,92.9,1,0.1,76,11.3,596,88.4,2,0.3,196,3.2,1.76,16.1,58,4,6.2,35,18,51.4,3,0,9,44,110.9
35,Mohamed Sanu,# 12,WR,17,ATL,106,74,69.8,828,11.2,5,77.2,75.8,65.1,82.2,69.9,536,512,95.5,3,0.6,351,65.5,181,33.8,3,0.6,340,4.6,1.62,8.0,52,5,6.3,29,14,48.3,2,0,4,47,100.7
37,Brian Quick,# 83,WR,7,WAS,8,6,75.0,76,12.7,0,76.5,75.7,74.6,68.8,-,54,54,100.0,0,0.0,13,24.1,39,72.2,2,3.7,27,4.5,1.41,7.0,31,0,0.0,0,0,,0,0,0,5,104.2
38,Marqise Lee,# 11,WR,17,JAX,103,63,61.2,771,12.2,3,76.0,75.1,43.3,83.6,-,522,495,94.8,0,0.0,67,12.8,451,86.4,2,0.4,320,5.1,1.56,11.5,45,9,12.5,21,10,47.6,3,1,10,44,81.8
39,Cameron Brate,# 84,TE,16,TB,73,48,65.8,591,12.3,6,73.6,74.8,70.9,79.1,35.6,441,393,89.1,19,4.3,245,55.6,65,14.7,124,28.1,157,3.3,1.50,10.0,35,3,5.9,28,12,42.9,2,1,2,34,106.6
40,Jakeem Grant Sr.,# 19,WR,12,MIA,21,13,61.9,203,15.6,2,70.7,74.2,47.7,88.3,-,93,87,93.5,0,0.0,19,20.4,68,73.1,0,0.0,150,11.5,2.33,10.3,65,2,13.3,3,1,33.3,0,0,7,9,125.7
41,Nelson Agholor,# 13,WR,19,PHI,108,77,71.3,935,12.1,8,74.9,74.0,66.5,82.5,65.7,601,569,94.7,1,0.2,518,86.2,72,12.0,4,0.7,404,5.2,1.64,9.8,72,6,7.2,22,10,45.5,2,0,8,43,114.5
42,Jordan Leslie,# 11,WR,2,CLV,1,1,100.0,26,26.0,0,74.9,73.6,64.7,61.2,-,18,16,88.9,0,0.0,3,16.7,15,83.3,0,0.0,5,5.0,1.63,21.0,26,0,0.0,1,1,100.0,0,0,0,1,118.8
42,Albert Wilson,# 12,WR,14,KC,60,44,73.3,580,13.2,3,73.8,73.6,69.2,79.6,68.6,399,378,94.7,2,0.5,236,59.1,141,35.3,20,5.0,326,7.4,1.53,6.6,63,3,6.4,8,5,62.5,0,0,16,34,120.1
44,JuJu Smith-Schuster,# 19,WR,15,PIT,82,61,74.4,922,15.1,8,73.1,73.5,77.2,82.6,-,513,483,94.2,0,0.0,301,58.7,204,39.8,7,1.4,399,6.5,1.91,9.9,97,3,4.7,20,10,50.0,2,0,9,40,133.3
45,T.J. Jones,# 13,WR,14,DET,45,30,66.7,399,13.3,1,74.4,73.2,59.0,80.6,-,287,270,94.1,0,0.0,93,32.4,194,67.6,0,0.0,73,2.4,1.48,11.8,34,3,9.1,7,3,42.9,0,0,0,22,102.0
46,Garrett Celek,# 88,TE,16,SF,30,21,70.0,336,16.0,4,73.0,73.1,59.5,74.6,55.3,301,214,71.1,82,27.2,49,16.3,27,9.0,212,70.4,177,8.4,1.57,8.9,61,2,8.7,4,1,25.0,1,0,4,15,132.8
47,Demaryius Thomas,# 88,WR,16,DEN,136,83,61.0,949,11.4,5,74.1,73.0,45.0,53.1,-,584,546,93.5,0,0.0,106,18.2,475,81.3,1,0.2,291,3.5,1.74,10.5,40,10,10.8,29,17,58.6,9,1,9,53,66.7
48,Jarius Wright,# 17,WR,18,MIN,33,24,72.7,305,12.7,2,72.3,72.9,85.3,75.6,-,234,220,94.0,0,0.0,189,80.8,40,17.1,5,2.1,112,4.7,1.39,9.4,33,0,0.0,6,5,83.3,0,0,0,18,121.4
48,Ted Ginn Jr.,# 19,WR,17,NO,86,65,75.6,974,15.0,5,71.9,72.9,79.5,63.7,66.1,500,478,95.6,1,0.2,161,32.2,337,67.4,1,0.2,348,5.4,2.04,13.2,80,3,4.4,18,8,44.4,2,0,3,38,121.9
50,Allen Hurns,# 88,WR,13,JAX,64,46,71.9,576,12.5,2,73.9,72.7,77.1,78.8,65.7,392,373,95.2,1,0.3,302,77.0,89,22.7,1,0.3,202,4.4,1.54,10.3,50,2,4.2,10,5,50.0,3,0,4,33,90.4
51,Trey Burton,# 88,TE,18,PHI,33,24,72.7,260,10.8,5,73.4,72.6,74.9,76.4,75.1,220,196,89.1,10,4.5,115,52.3,37,16.8,65,29.5,39,1.6,1.33,10.5,27,1,4.0,10,8,80.0,0,0,2,15,135.1
51,Robbie Chosen,# 11,WR,16,NYJ,111,63,56.8,941,14.9,7,71.4,72.6,60.3,80.9,-,520,492,94.6,0,0.0,146,28.1,372,71.5,0,0.0,285,4.5,1.91,13.6,69,6,8.7,26,8,30.8,5,0,5,36,87.0
53,Jamison Crowder,# 80,WR,15,WAS,96,66,68.8,789,12.0,3,72.7,72.5,55.0,41.1,67.8,468,453,96.8,2,0.4,348,74.4,113,24.1,5,1.1,363,5.5,1.74,7.6,41,7,9.6,13,7,53.8,4,1,4,37,86.7
54,Kendall Wright,# 13,WR,16,CHI,82,59,72.0,614,10.4,1,73.2,72.4,76.6,80.4,-,435,408,93.8,0,0.0,306,70.3,124,28.5,5,1.1,193,3.3,1.50,7.9,22,3,4.8,19,13,68.4,1,0,8,33,92.2
55,Greg Olsen,# 88,TE,8,CAR,45,25,55.6,298,11.9,2,68.6,72.3,85.7,75.5,74.0,242,219,90.5,15,6.2,126,52.1,55,22.7,53,21.9,72,2.9,1.36,11.0,30,0,0.0,13,4,30.8,1,0,1,18,81.5
56,Keelan Cole Sr.,# 84,WR,19,JAX,78,45,57.7,830,18.4,3,74.0,72.0,69.9,24.7,-,534,504,94.4,0,0.0,181,33.9,353,66.1,0,0.0,288,6.4,1.65,13.8,75,3,6.3,20,8,40.0,3,2,4,34,91.3
56,Kyle Rudolph,# 82,TE,18,MIN,87,63,72.4,585,9.3,9,68.2,72.0,90.0,80.6,61.9,619,480,77.5,103,16.6,247,39.9,40,6.5,320,51.7,240,3.8,1.22,8.2,34,1,1.6,18,7,38.9,2,0,3,34,115.3
56,Devin Funchess,# 17,WR,17,CAR,117,67,57.3,919,13.7,8,72.2,72.0,68.5,81.2,68.1,593,559,94.3,1,0.2,120,20.2,471,79.4,2,0.3,292,4.4,1.64,14.0,44,3,4.3,35,17,48.6,4,0,4,44,91.1
59,Dez Bryant,# 88,WR,16,DAL,126,69,54.8,838,12.1,6,72.7,71.8,28.9,48.1,-,568,518,91.2,0,0.0,124,21.8,444,78.2,0,0.0,290,4.2,1.62,12.2,50,12,14.8,40,14,35.0,5,1,14,44,74.8
60,Charles Clay,# 85,TE,14,BUF,76,52,68.4,573,11.0,2,70.8,71.7,49.0,41.6,55.5,378,331,87.6,33,8.7,67,17.7,27,7.1,283,74.9,263,5.1,1.73,7.1,44,7,11.9,15,6,40.0,3,1,5,29,82.8
60,Michael Crabtree,# 15,WR,14,OAK,99,58,58.6,618,10.7,8,72.0,71.7,59.2,43.9,-,413,381,92.3,0,0.0,86,20.8,325,78.7,0,0.0,196,3.4,1.62,11.0,41,6,9.4,29,13,44.8,2,1,7,35,95.4
62,Brandin Cooks,# 14,WR,19,NE,127,75,59.1,"1,237",16.5,7,70.7,71.5,60.6,83.0,62.2,771,713,92.5,1,0.1,138,17.9,633,82.1,0,0.0,268,3.6,1.73,16.2,64,8,9.6,31,9,29.0,2,0,6,51,103.7
63,David Njoku,# 85,TE,16,CLV,58,32,55.2,386,12.1,4,66.4,71.1,59.7,77.1,32.8,339,284,83.8,33,9.7,71,20.9,33,9.7,231,68.1,148,4.6,1.36,10.8,34,3,8.6,18,6,33.3,2,0,2,17,84.4
64,Troy Niklas,# 87,TE,15,ARZ,20,11,55.0,132,12.0,1,59.1,71.0,63.2,73.1,56.0,192,139,72.4,45,23.4,13,6.8,0,0.0,179,93.2,56,5.1,0.95,8.7,21,1,8.3,11,4,36.4,0,0,1,6,92.1
65,Rishard Matthews,# 18,WR,16,TEN,93,57,61.3,837,14.7,4,71.9,70.9,63.0,80.3,-,568,538,94.7,0,0.0,186,32.7,380,66.9,2,0.4,285,5.0,1.56,12.2,75,4,6.6,19,9,47.4,6,0,7,39,78.1
