RANK,PLAYER,#,POS,#G,TEAM,TGT,REC,REC%,YDS,Y/REC,TD,OFF,RECV,DROP,FUM,PBLK,PASS,RECV,RT%,PBLK,PB%,SLOT,SLT%,WIDE,WID%,INL,INL%,YAC,YAC/REC,Y/RR,ADOT,LNG,DRP,DRP%,CTT,CTC,CTC%,INT,FUM,MTF,1ST,RTG
1,Kevin Boss,# 80,TE,2,KC,3,3,100.0,65,21.7,1,91.8,92.6,72.1,67.0,57.8,30,18,60.0,11,36.7,7,23.3,0,0.0,23,76.7,7,2.3,3.61,19.3,29,0,0.0,0,0,,0,0,0,3,158.3
2,Percy Harvin,# 12,WR,9,MIN,81,62,76.5,677,10.9,3,90.8,92.1,90.0,29.4,70.0,279,261,93.5,1,0.4,165,59.1,91,32.6,2,0.7,542,8.7,2.59,4.3,45,1,1.6,0,0,,2,0,22,36,102.8
3,Andre Johnson,# 80,WR,18,HST,175,124,70.9,"1,755",14.2,4,91.6,91.5,75.7,85.0,-,649,622,95.8,0,0.0,133,20.5,516,79.5,0,0.0,587,4.7,2.82,11.4,60,9,6.8,0,0,,5,0,11,88,98.6
4,Michael Crabtree,# 15,WR,19,SF,146,105,71.9,"1,390",13.2,12,91.3,91.1,64.7,59.3,-,544,522,96.0,0,0.0,191,35.1,352,64.7,1,0.2,680,6.5,2.66,7.9,49,9,7.9,0,0,,2,1,19,70,123.4
5,Chase Coffman,# 86,TE,7,ATL,2,2,100.0,28,14.0,0,91.0,90.8,68.3,64.0,-,8,8,100.0,0,0.0,1,12.5,3,37.5,4,50.0,1,0.5,3.50,13.5,16,0,0.0,0,0,,0,0,0,2,118.8
6,Tony Gonzalez,# 88,TE,18,ATL,136,107,78.7,"1,059",9.9,10,89.2,90.1,88.1,84.0,73.9,727,632,86.9,67,9.2,418,57.5,81,11.1,226,31.1,281,2.6,1.68,8.2,25,4,3.6,0,0,,3,0,17,75,114.4
6,Brandon Marshall,# 15,WR,16,CHI,181,118,65.2,"1,508",12.8,11,90.4,90.1,48.9,39.6,-,579,543,93.8,0,0.0,128,22.1,448,77.4,0,0.0,369,3.1,2.78,12.7,56,13,9.9,0,0,,7,2,17,75,95.3
8,Heath Miller,# 83,TE,15,PIT,93,71,76.3,816,11.5,8,87.1,89.7,76.9,81.7,65.0,615,456,74.1,138,22.4,67,10.9,11,1.8,513,83.4,368,5.2,1.79,7.7,43,4,5.3,0,0,,3,0,3,44,117.5
9,Vincent Jackson,# 83,WR,16,TB,137,72,52.6,"1,384",19.2,8,89.6,89.6,70.4,81.5,-,615,587,95.4,0,0.0,223,36.3,392,63.7,0,0.0,365,5.1,2.36,16.9,95,5,6.5,0,0,,5,0,6,61,92.2
10,Calvin Johnson,# 81,WR,16,DET,199,122,61.3,"1,964",16.1,5,89.8,89.4,54.3,40.8,-,796,770,96.7,0,0.0,229,28.8,567,71.2,0,0.0,514,4.2,2.55,13.7,53,14,10.3,0,0,,5,3,12,94,92.2
11,A.J. Green,# 18,WR,17,CIN,168,102,60.7,"1,430",14.0,11,88.9,87.8,58.8,34.9,62.4,647,615,95.1,1,0.2,88,13.6,559,86.4,0,0.0,461,4.5,2.33,14.2,73,10,8.9,0,0,,7,2,15,64,92.6
12,Roddy White,# 84,WR,18,ATL,160,104,65.0,"1,527",14.7,8,89.3,87.4,90.2,66.6,70.8,760,725,95.4,2,0.3,155,20.4,602,79.2,0,0.0,347,3.3,2.11,13.2,59,4,3.7,0,0,,7,1,6,82,94.5
13,Rob Gronkowski,# 87,TE,12,NE,78,55,70.5,790,14.4,11,90.9,87.2,49.3,40.6,71.3,425,329,77.4,76,17.9,247,58.1,14,3.3,157,36.9,312,5.7,2.40,10.8,41,7,11.3,0,0,,0,1,6,46,142.6
14,Julio Jones,# 11,WR,18,ATL,150,96,64.0,"1,439",15.0,12,86.1,86.5,64.7,84.0,67.3,682,654,95.9,1,0.1,61,8.9,615,90.2,0,0.0,555,5.8,2.20,12.8,80,8,7.7,0,0,,3,0,12,68,113.7
15,Reggie Wayne,# 87,WR,17,IND,196,115,58.7,"1,469",12.8,5,88.6,85.6,59.5,68.5,56.9,795,745,93.7,3,0.4,479,60.3,310,39.0,6,0.8,401,3.5,1.97,11.2,33,10,8.0,0,0,,11,1,6,81,67.3
16,Anquan Boldin,# 81,WR,19,BLT,144,87,60.4,"1,301",15.0,8,84.2,85.4,87.4,82.9,-,705,656,93.0,0,0.0,449,63.7,255,36.2,1,0.1,344,4.0,1.98,12.2,50,3,3.3,0,0,,3,0,11,64,99.9
17,Danny Amendola,# 16,WR,11,SL,94,62,66.0,664,10.7,2,86.5,85.3,85.4,26.9,-,342,324,94.7,0,0.0,274,80.1,67,19.6,1,0.3,258,4.2,2.05,7.8,56,2,3.1,0,0,,2,2,5,37,84.7
18,Allen Reisner,# 87,TE,1,JAX,1,1,100.0,13,13.0,0,81.0,85.1,64.7,61.2,68.7,4,3,75.0,1,25.0,1,25.0,0,0.0,3,75.0,2,2.0,4.33,11.0,13,0,0.0,0,0,,0,0,0,1,118.8
19,Virgil Green,# 85,TE,11,DEN,6,5,83.3,63,12.6,0,80.2,83.9,73.4,68.0,39.6,38,16,42.1,22,57.9,5,13.2,3,7.9,28,73.7,59,11.8,3.94,1.2,28,0,0.0,0,0,,0,0,2,4,110.4
20,Pierre Garcon,# 88,WR,11,WAS,69,48,69.6,683,14.2,4,84.4,83.6,63.2,79.4,-,239,230,96.2,0,0.0,35,14.6,203,84.9,0,0.0,355,7.4,2.97,9.8,88,5,9.4,0,0,,2,0,5,28,108.5
21,Demaryius Thomas,# 88,WR,17,DEN,145,97,66.9,"1,467",15.1,11,85.1,83.5,42.2,31.3,-,655,616,94.0,0,0.0,49,7.5,605,92.4,0,0.0,570,5.9,2.38,11.5,71,12,11.0,0,0,,0,3,14,64,125.3
22,Jason Witten,# 82,TE,16,DAL,146,110,75.3,"1,039",9.4,3,84.5,82.8,70.7,84.1,66.6,729,628,86.1,71,9.7,286,39.2,6,0.8,416,57.1,324,2.9,1.65,8.2,36,8,6.8,0,0,,3,0,8,56,92.8
