RANK,PLAYER,#,POS,#G,TEAM,TGT,REC,REC%,YDS,Y/REC,TD,OFF,RECV,DROP,FUM,PBLK,PASS,RECV,RT%,PBLK,PB%,SLOT,SLT%,WIDE,WID%,INL,INL%,YAC,YAC/REC,Y/RR,ADOT,LNG,DRP,DRP%,CTT,CTC,CTC%,INT,FUM,MTF,1ST,RTG
1,Rob Gronkowski,# 87,TE,7,NE,64,39,60.9,592,15.2,4,91.0,91.1,74.4,78.1,69.9,258,215,83.3,29,11.2,135,52.3,28,10.9,93,36.0,198,5.1,2.75,11.5,50,2,4.9,0,0,,4,0,2,30,86.2
2,Anquan Boldin,# 81,WR,19,SF,150,101,67.3,"1,406",13.9,8,90.5,90.5,67.3,83.9,-,585,556,95.0,0,0.0,276,47.2,304,52.0,2,0.3,502,5.0,2.53,10.3,63,8,7.3,0,0,,1,0,13,73,112.2
3,Brandon Marshall,# 15,WR,16,CHI,158,100,63.3,"1,295",13.0,12,91.6,90.0,35.3,87.4,55.9,641,606,94.5,2,0.3,285,44.5,350,54.6,3,0.5,283,2.8,2.14,12.7,44,15,13.0,0,0,,4,0,13,70,103.7
4,Antonio Brown,# 84,WR,16,PIT,159,110,69.2,"1,499",13.6,8,89.1,89.8,71.0,90.0,-,630,604,95.9,0,0.0,76,12.1,551,87.5,0,0.0,658,6.0,2.48,10.8,56,8,6.8,0,0,,3,0,16,69,107.9
5,Calvin Johnson,# 81,WR,14,DET,148,84,56.8,"1,492",17.8,12,89.9,89.5,53.7,53.2,-,565,545,96.5,0,0.0,148,26.2,417,73.8,0,0.0,475,5.7,2.74,15.0,87,10,10.6,0,0,,9,1,13,69,93.1
6,Andre Johnson,# 80,WR,16,HST,176,109,61.9,"1,407",12.9,5,89.4,88.7,64.8,84.0,-,635,612,96.4,0,0.0,150,23.6,483,76.1,2,0.3,414,3.8,2.30,11.7,62,10,8.4,0,0,,8,0,8,69,77.5
7,Marvin Jones Jr.,# 82,WR,17,CIN,88,59,67.0,842,14.3,10,87.2,87.5,76.0,81.4,-,444,428,96.4,0,0.0,76,17.1,368,82.9,0,0.0,239,4.1,1.97,12.2,49,3,4.8,0,0,,3,0,15,42,121.5
8,Jordan Reed,# 86,TE,9,WAS,60,45,75.0,499,11.1,3,89.0,87.1,61.8,78.9,74.7,253,226,89.3,19,7.5,80,31.6,20,7.9,126,49.8,239,5.3,2.21,6.7,38,4,8.2,0,0,,2,0,4,30,102.0
9,Keenan Allen,# 13,WR,17,SD,113,79,69.9,"1,209",15.3,10,86.8,86.4,73.5,63.3,-,600,561,93.5,0,0.0,78,13.0,522,87.0,0,0.0,464,5.9,2.16,11.1,49,5,6.0,0,0,,3,1,14,62,123.4
10,David Johnson,# 85,TE,5,PIT,6,4,66.7,70,17.5,0,88.7,85.8,42.1,67.0,63.1,36,18,50.0,18,50.0,1,2.8,0,0.0,35,97.2,32,8.0,3.89,7.3,32,1,20.0,0,0,,0,0,1,3,106.3
11,Jordy Nelson,# 87,WR,17,GB,128,92,71.9,"1,376",15.0,9,86.0,85.3,79.1,87.0,-,715,676,94.5,0,0.0,376,52.6,338,47.3,1,0.1,452,4.9,2.04,11.4,76,6,6.1,0,0,,5,0,14,63,113.9
12,DeSean Jackson,# 10,WR,17,PHI,125,85,68.0,"1,385",16.3,9,84.4,85.0,76.2,64.8,-,612,577,94.3,0,0.0,160,26.1,432,70.6,0,0.0,498,5.9,2.40,14.3,61,5,5.6,0,0,,2,1,9,62,122.3
13,Jimmy Graham,# 80,TE,18,NO,145,90,62.1,"1,267",14.1,16,81.3,84.3,72.0,82.7,69.3,670,607,90.6,31,4.6,336,50.1,165,24.6,166,24.8,433,4.8,2.09,10.6,56,6,6.3,0,0,,6,0,11,63,109.8
