RANK,PLAYER,#,POS,#G,TEAM,TGT,REC,REC%,YDS,Y/REC,TD,OFF,RECV,DROP,FUM,PBLK,PASS,RECV,RT%,PBLK,PB%,SLOT,SLT%,WIDE,WID%,INL,INL%,YAC,YAC/REC,Y/RR,ADOT,LNG,DRP,DRP%,CTT,CTC,CTC%,INT,FUM,MTF,1ST,RTG
1,George Kittle,# 85,TE,17,SF,117,93,79.5,"1,124",12.1,5,94.4,94.3,90.6,58.5,66.3,498,391,78.5,80,16.1,110,22.1,73,14.7,294,59.0,675,7.3,2.87,5.9,61,2,2.1,23,13,56.5,2,1,20,57,113.8
2,Codey McElroy,# 86,TE,1,TB,1,1,100.0,30,30.0,0,93.0,92.6,64.7,61.2,-,2,2,100.0,0,0.0,0,0.0,1,50.0,1,50.0,0,0.0,15.00,30.0,30,0,0.0,1,1,100.0,0,0,0,1,118.8
3,Michael Thomas,# 13,WR,17,NO,188,156,83.0,"1,795",11.5,9,90.4,90.7,90.3,67.8,-,677,636,93.9,0,0.0,215,31.8,462,68.2,0,0.0,599,3.8,2.82,8.2,49,6,3.7,34,23,67.6,0,1,12,96,122.4
4,Chris Godwin,# 12,WR,14,TB,114,86,75.4,"1,333",15.5,9,90.7,90.4,90.8,82.8,73.2,634,596,94.0,3,0.5,402,63.4,221,34.9,10,1.6,580,6.7,2.24,10.3,71,1,1.1,24,16,66.7,5,0,17,63,121.7
5,Julio Jones,# 11,WR,15,ATL,149,99,66.4,"1,394",14.1,6,90.6,90.3,85.8,58.3,-,610,572,93.8,0,0.0,135,22.1,475,77.9,0,0.0,360,3.6,2.44,12.3,54,6,5.7,45,23,51.1,5,1,8,77,95.9
6,Tyler Higbee,# 89,TE,15,LA,86,69,80.2,734,10.6,3,86.1,90.1,81.1,81.4,63.6,403,282,70.0,101,25.1,38,9.4,55,13.6,309,76.7,401,5.8,2.60,6.6,33,2,2.8,8,5,62.5,1,0,7,36,109.0
7,Davante Adams,# 17,WR,14,GB,146,100,68.5,"1,295",13.0,7,88.0,88.8,61.6,31.9,-,532,497,93.4,0,0.0,145,27.3,386,72.6,0,0.0,516,5.2,2.61,10.5,65,9,8.3,16,7,43.8,2,2,5,67,106.4
8,Travis Kelce,# 87,TE,19,KC,152,116,76.3,"1,436",12.4,9,86.1,88.7,64.9,62.3,77.4,800,669,83.6,60,7.5,260,32.5,267,33.4,269,33.6,489,4.2,2.15,9.1,47,7,5.7,26,14,53.8,0,1,18,79,124.8
9,DeAndre Hopkins,# 10,WR,17,HST,168,119,70.8,"1,373",11.5,7,87.8,88.1,83.2,62.9,-,726,682,93.9,0,0.0,272,37.5,452,62.3,0,0.0,412,3.5,2.01,10.8,43,6,4.8,34,16,47.1,1,2,12,77,106.6
10,Mark Andrews,# 89,TE,16,BLT,104,68,65.4,891,13.1,10,88.5,87.8,58.3,27.2,61.1,354,333,94.1,7,2.0,234,66.1,48,13.6,70,19.8,298,4.4,2.68,11.0,51,7,9.3,25,8,32.0,4,2,7,47,108.3
11,Will Dissly,# 88,TE,6,SEA,26,23,88.5,262,11.4,4,79.6,87.1,85.3,25.6,66.9,137,105,76.6,20,14.6,49,35.8,16,11.7,72,52.6,77,3.3,2.50,9.5,38,0,0.0,2,2,100.0,0,1,1,14,148.2
12,Antonio Brown,# 17,WR,1,NE,8,4,50.0,56,14.0,1,90.0,86.9,72.1,68.3,-,17,14,82.4,0,0.0,9,52.9,8,47.1,0,0.0,6,1.5,4.00,12.5,20,0,0.0,3,1,33.3,0,0,1,3,112.5
13,Tyreek Hill,# 10,WR,15,KC,112,75,67.0,"1,073",14.3,9,84.5,86.8,71.2,83.6,62.4,519,477,91.9,1,0.2,273,52.6,235,45.3,7,1.3,353,4.7,2.25,11.9,57,5,6.3,15,3,20.0,4,0,12,48,109.7
13,Darren Waller,# 83,TE,16,OAK,115,90,78.3,"1,146",12.7,3,83.2,86.8,78.5,56.9,57.5,557,474,85.1,66,11.8,171,30.7,137,24.6,249,44.7,594,6.6,2.42,7.5,75,5,5.3,18,8,44.4,2,1,11,53,109.6
15,Terry McLaurin,# 17,WR,14,WAS,91,58,63.7,919,15.8,7,85.7,86.5,51.9,80.4,-,485,449,92.6,0,0.0,114,23.5,371,76.5,0,0.0,222,3.8,2.05,14.6,75,7,10.8,25,15,60.0,1,0,7,43,118.3
16,Mike Evans,# 13,WR,13,TB,114,67,58.8,"1,157",17.3,8,85.7,85.2,58.9,81.4,69.6,539,502,93.1,1,0.2,158,29.3,380,70.5,1,0.2,266,4.0,2.30,15.7,67,7,9.5,29,15,51.7,8,0,2,54,87.5
17,Amari Cooper,# 19,WR,16,DAL,116,79,68.1,"1,189",15.1,8,84.2,84.2,63.1,82.3,-,549,519,94.5,0,0.0,75,13.7,474,86.3,0,0.0,232,2.9,2.29,13.0,53,7,8.1,26,10,38.5,2,0,6,54,117.3
18,Marvin Hall,# 17,WR,9,DET,10,7,70.0,261,37.3,1,85.4,84.0,75.6,74.3,-,71,68,95.8,0,0.0,29,40.8,42,59.2,0,0.0,35,5.0,3.84,29.7,58,0,0.0,3,2,66.7,1,0,0,7,106.3
19,Tyler Lockett,# 16,WR,18,SEA,127,95,74.8,"1,255",13.2,9,81.9,83.2,84.5,70.3,-,697,644,92.4,0,0.0,482,69.2,209,30.0,6,0.9,333,3.5,1.95,13.3,44,4,4.0,20,11,55.0,1,1,2,64,125.9
20,DeSean Jackson,# 10,WR,3,PHI,10,9,90.0,159,17.7,2,81.7,83.0,56.7,70.6,-,40,38,95.0,0,0.0,18,45.0,22,55.0,0,0.0,18,2.0,4.18,14.5,53,1,10.0,1,1,100.0,0,0,0,6,158.3
21,Kalif Raymond,# 14,WR,10,TEN,13,10,76.9,215,21.5,2,81.3,82.5,78.0,85.1,-,62,61,98.4,0,0.0,44,71.0,18,29.0,0,0.0,16,1.6,3.52,20.6,52,0,0.0,1,0,0.0,1,1,0,7,125.8
22,Keenan Allen,# 13,WR,16,LAC,147,104,70.7,"1,199",11.5,6,80.8,81.7,82.4,84.1,70.0,643,596,92.7,3,0.5,337,52.4,304,47.3,2,0.3,378,3.6,2.01,10.3,45,5,4.6,26,12,46.2,8,0,7,63,86.0
23,Allen Robinson II,# 12,WR,16,CHI,153,98,64.1,"1,147",11.7,7,80.8,81.1,90.0,83.5,65.1,671,630,93.9,2,0.3,277,41.3,390,58.1,3,0.4,263,2.7,1.82,11.7,49,3,3.0,44,26,59.1,5,0,6,63,88.3
24,A.J. Brown,# 11,WR,19,TEN,93,57,61.3,"1,115",19.6,8,81.8,80.9,69.4,44.4,66.2,487,461,94.7,1,0.2,61,12.5,426,87.5,0,0.0,498,8.7,2.42,13.2,91,4,6.6,24,7,29.2,2,1,18,42,122.8
25,Foster Moreau,# 87,TE,13,OAK,23,21,91.3,174,8.3,5,70.8,80.8,84.1,74.6,55.4,177,129,72.9,44,24.9,10,5.6,16,9.0,149,84.2,107,5.1,1.35,4.5,23,0,0.0,2,2,100.0,1,0,4,14,119.7
25,Jared Cook,# 87,TE,15,NO,67,48,71.6,759,15.8,9,78.3,80.8,56.6,79.1,44.7,404,368,91.1,10,2.5,267,66.1,80,19.8,57,14.1,277,5.8,2.06,11.1,61,5,9.4,16,9,56.3,1,0,6,36,142.4
27,Austin Hooper,# 81,TE,13,ATL,93,75,80.6,787,10.5,6,78.3,80.5,88.9,81.8,65.0,546,478,87.5,35,6.4,234,42.9,45,8.2,265,48.5,323,4.3,1.65,7.2,35,2,2.6,18,12,66.7,2,0,8,41,114.5
27,Courtland Sutton,# 14,WR,16,DEN,115,72,62.6,"1,112",15.4,6,83.1,80.5,82.1,28.0,-,576,535,92.9,0,0.0,108,18.8,467,81.1,1,0.2,361,5.0,2.08,12.3,70,3,4.0,23,13,56.5,2,2,16,50,104.7
29,Ventell Bryant,# 83,WR,4,DAL,1,1,100.0,15,15.0,1,86.0,80.4,64.7,61.2,-,7,7,100.0,0,0.0,2,28.6,4,57.1,1,14.3,0,0.0,2.14,18.0,15,0,0.0,1,1,100.0,0,0,0,1,158.3
29,Robert Woods,# 17,WR,15,LA,129,90,69.8,"1,134",12.6,2,82.2,80.4,90.4,85.1,79.3,656,602,91.8,15,2.3,226,34.5,427,65.1,2,0.3,580,6.4,1.88,8.4,48,2,2.2,19,9,47.4,6,0,7,54,82.6
31,DJ Moore,# 12,WR,15,CAR,130,87,66.9,"1,175",13.5,4,82.2,80.2,76.5,35.4,75.4,607,580,95.6,2,0.3,94,15.5,512,84.3,1,0.2,391,4.5,2.03,11.7,52,5,5.4,29,15,51.7,5,2,13,63,89.7
32,Jarvis Landry,# 80,WR,16,CLV,130,83,63.8,"1,174",14.1,6,78.2,80.0,75.3,85.0,-,627,576,91.9,0,0.0,387,61.7,236,37.6,0,0.0,432,5.2,2.04,10.5,65,5,5.7,33,16,48.5,8,0,15,55,82.7
33,DeVante Parker,# 11,WR,16,MIA,119,72,60.5,"1,202",16.7,9,79.2,79.8,64.7,81.7,-,675,635,94.1,0,0.0,155,23.0,518,76.7,2,0.3,269,3.7,1.89,14.7,51,5,6.5,39,22,56.4,4,0,8,58,105.8
34,Rashard Davis,# 12,WR,1,TEN,1,1,100.0,16,16.0,0,90.2,79.6,64.7,74.8,-,1,1,100.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,16.00,16.0,16,0,0.0,1,1,100.0,0,0,0,1,118.8
35,Jonnu Smith,# 81,TE,19,TEN,52,41,78.8,498,12.1,4,70.9,79.3,83.0,79.4,43.5,383,279,72.8,92,24.0,96,25.1,26,6.8,255,66.6,309,7.5,1.78,6.0,57,1,2.4,9,6,66.7,1,0,14,18,124.2
35,Kenny Golladay,# 19,WR,16,DET,113,65,57.5,"1,190",18.3,11,79.9,79.3,61.5,46.5,48.3,626,585,93.5,2,0.3,100,16.0,526,84.0,0,0.0,303,4.7,2.03,16.1,75,5,7.1,41,26,63.4,5,1,4,52,107.9
37,Dallas Goedert,# 88,TE,16,PHI,86,65,75.6,680,10.5,5,82.7,79.1,67.9,27.0,71.6,491,401,81.7,65,13.2,175,35.6,46,9.4,261,53.2,372,5.7,1.70,6.4,28,4,5.8,15,6,40.0,3,2,8,37,102.9
38,Gerald Everett,# 81,TE,12,LA,54,37,68.5,408,11.0,2,76.0,78.9,81.3,77.7,44.3,298,248,83.2,34,11.4,42,14.1,104,34.9,152,51.0,183,4.9,1.65,8.2,33,1,2.6,8,4,50.0,2,0,13,22,87.6
39,Adam Thielen,# 19,WR,12,MIN,62,42,67.7,597,14.2,6,75.4,78.3,59.9,35.4,-,309,287,92.9,0,0.0,95,30.7,213,68.9,0,0.0,144,3.4,2.08,13.8,44,3,6.7,8,3,37.5,1,1,2,27,124.2
40,Emmanuel Sanders,# 17,WR,20,SF,104,71,68.3,940,13.2,5,77.0,77.9,90.4,81.7,62.4,595,556,93.4,1,0.2,209,35.1,381,64.0,2,0.3,244,3.4,1.69,11.6,75,1,1.4,19,9,47.4,7,0,7,45,84.6
