RANK,PLAYER,#,POS,#G,TEAM,TGT,REC,REC%,YDS,Y/REC,TD,OFF,RECV,DROP,FUM,PBLK,PASS,RECV,RT%,PBLK,PB%,SLOT,SLT%,WIDE,WID%,INL,INL%,YAC,YAC/REC,Y/RR,ADOT,LNG,DRP,DRP%,CTT,CTC,CTC%,INT,FUM,MTF,1ST,RTG
1,Antonio Brown,# 84,WR,17,PIT,202,143,70.8,"1,953",13.7,10,92.5,92.6,90.1,59.5,-,733,672,91.7,0,0.0,144,19.6,581,79.3,0,0.0,699,4.9,2.91,11.2,60,7,4.7,0,0,,9,1,25,88,99.3
2,Alshon Jeffery,# 17,WR,9,CHI,92,54,58.7,807,14.9,4,92.0,92.1,87.9,79.8,-,295,281,95.3,0,0.0,78,26.4,217,73.6,0,0.0,197,3.6,2.87,15.5,50,2,3.6,0,0,,3,0,4,43,88.5
2,Julio Jones,# 11,WR,16,ATL,193,136,70.5,"1,871",13.8,8,92.5,92.1,67.7,30.4,-,658,615,93.5,0,0.0,186,28.3,469,71.3,2,0.3,665,4.9,3.04,10.5,70,10,6.8,0,0,,2,3,20,93,110.7
4,Greg Olsen,# 88,TE,19,CAR,136,93,68.4,"1,335",14.4,8,90.4,91.1,90.0,56.6,82.3,685,580,84.7,75,10.9,310,45.3,113,16.5,200,29.2,461,5.0,2.30,10.5,54,4,4.1,0,0,,0,1,1,62,119.6
5,Jordan Reed,# 86,TE,15,WAS,127,96,75.6,"1,072",11.2,12,90.1,91.0,84.2,25.5,74.0,505,435,86.1,40,7.9,193,38.2,98,19.4,208,41.2,529,5.5,2.46,6.9,32,4,4.0,0,0,,1,3,19,61,128.5
6,DeAndre Hopkins,# 10,WR,17,HST,198,117,59.1,"1,590",13.6,11,90.6,90.7,77.5,61.4,66.2,739,699,94.6,1,0.1,111,15.0,626,84.7,1,0.1,233,2.0,2.27,14.6,61,7,5.6,0,0,,6,1,5,88,90.7
7,Brandon Tate,# 19,WR,3,CIN,3,2,66.7,59,29.5,1,91.9,90.6,68.3,88.9,-,5,5,100.0,0,0.0,0,0.0,5,100.0,0,0.0,10,5.0,11.80,19.7,55,0,0.0,0,0,,0,0,0,1,149.3
7,Daniel Fells,# 85,TE,2,NYG,7,6,85.7,60,10.0,0,85.3,90.6,74.6,68.8,72.3,28,24,85.7,4,14.3,3,10.7,1,3.6,22,78.6,34,5.7,2.50,4.0,23,0,0.0,0,0,,0,0,1,4,102.4
7,A.J. Green,# 18,WR,17,CIN,131,91,69.5,"1,368",15.0,11,90.4,90.6,88.9,50.4,-,627,586,93.5,0,0.0,120,19.1,504,80.4,2,0.3,340,3.7,2.33,14.2,80,3,3.2,0,0,,3,1,7,67,121.9
10,Rob Gronkowski,# 87,TE,17,NE,135,87,64.4,"1,403",16.1,14,91.3,90.3,82.6,87.0,70.5,722,599,83.0,81,11.2,296,41.0,236,32.7,188,26.0,631,7.3,2.34,10.8,76,4,4.4,0,0,,2,0,13,62,127.5
11,Odell Beckham Jr.,# 13,WR,15,NYG,153,96,62.7,"1,450",15.1,13,88.1,90.1,84.2,40.9,-,641,598,93.3,0,0.0,167,26.1,467,72.9,0,0.0,591,6.2,2.42,12.1,87,4,4.0,1,0,0.0,3,2,13,68,114.0
12,Zach Miller,# 86,TE,15,CHI,42,34,81.0,439,12.9,5,86.3,90.0,90.0,77.7,79.4,268,213,79.5,40,14.9,75,28.0,40,14.9,141,52.6,234,6.9,2.06,7.3,87,0,0.0,0,0,,0,0,11,17,149.8
13,Steve Smith,# 89,WR,7,BLT,70,46,65.7,670,14.6,3,90.3,89.9,64.8,79.9,-,250,231,92.4,0,0.0,82,32.8,166,66.4,1,0.4,261,5.7,2.90,10.7,50,4,8.0,0,0,,3,1,12,28,93.2
14,Tyler Eifert,# 85,TE,14,CIN,75,57,76.0,673,11.8,13,86.1,89.8,50.5,80.2,69.6,509,402,79.0,78,15.3,73,14.3,56,11.0,356,69.9,282,4.9,1.67,8.3,31,8,12.3,0,0,,0,0,7,40,142.4
15,Sammy Watkins,# 14,WR,13,BUF,91,60,65.9,"1,047",17.5,9,89.8,89.6,64.5,80.6,-,419,390,93.1,0,0.0,51,12.2,368,87.8,0,0.0,180,3.0,2.68,17.8,63,4,6.3,0,0,,2,0,5,41,128.8
16,Larry Fitzgerald,# 11,WR,18,ARZ,158,121,76.6,"1,421",11.7,10,89.4,87.3,87.4,42.6,79.7,696,638,91.7,9,1.3,407,58.5,272,39.1,15,2.2,586,4.8,2.23,8.8,75,5,4.0,0,0,,2,3,11,74,119.2
17,Doug Baldwin,# 89,WR,18,SEA,118,91,77.1,"1,193",13.1,15,88.2,86.8,88.2,63.9,71.8,624,598,95.8,2,0.3,502,80.4,95,15.2,25,4.0,462,5.1,1.99,10.2,80,4,4.2,0,0,,2,1,20,56,141.0
