RANK,PLAYER,#,POS,#G,TEAM,TGT,REC,REC%,YDS,Y/REC,TD,OFF,RECV,DROP,FUM,PBLK,PASS,RECV,RT%,PBLK,PB%,SLOT,SLT%,WIDE,WID%,INL,INL%,YAC,YAC/REC,Y/RR,ADOT,LNG,DRP,DRP%,CTT,CTC,CTC%,INT,FUM,MTF,1ST,RTG
1,Travis Kelce,# 87,TE,18,KC,178,136,76.4,"1,776",13.1,14,93.8,93.6,90.7,65.4,53.1,783,685,87.5,52,6.6,223,28.5,281,35.9,266,34.0,729,5.4,2.59,8.9,45,4,2.9,23,7,30.4,4,1,16,98,124.2
2,Davante Adams,# 17,WR,16,GB,170,133,78.2,"1,507",11.3,20,92.0,91.9,91.0,64.8,-,578,548,94.8,0,0.0,194,33.6,382,66.1,0,0.0,660,5.0,2.75,8.7,56,2,1.5,26,12,46.2,3,1,5,82,135.5
3,Darren Waller,# 83,TE,16,LV,140,107,76.4,"1,196",11.2,9,86.5,90.9,90.8,34.2,58.2,627,524,83.6,70,11.2,128,20.4,151,24.1,341,54.4,594,5.6,2.28,8.1,38,2,1.8,26,19,73.1,3,2,9,69,113.9
4,Stefon Diggs,# 14,WR,19,BUF,193,147,76.2,"1,846",12.6,10,90.2,90.6,71.7,86.4,-,794,742,93.5,0,0.0,250,31.5,543,68.4,0,0.0,548,3.7,2.49,11.5,55,10,6.4,25,15,60.0,2,0,21,91,118.4
5,Richard Rodgers,# 85,TE,12,PHI,28,24,85.7,345,14.4,2,88.6,90.5,74.2,76.0,58.7,178,130,73.0,37,20.8,37,20.8,21,11.8,116,65.2,99,4.1,2.65,10.8,33,1,4.0,3,2,66.7,0,0,0,16,141.8
5,Justin Jefferson,# 18,WR,16,MIN,121,88,72.7,"1,400",15.9,7,90.4,90.5,82.3,55.0,-,564,526,93.3,0,0.0,171,30.3,392,69.5,0,0.0,450,5.1,2.66,12.0,71,4,4.3,22,12,54.5,4,1,13,58,116.4
7,A.J. Brown,# 11,WR,15,TEN,109,76,69.7,"1,158",15.2,12,90.4,90.4,54.8,27.8,-,457,433,94.7,0,0.0,75,16.4,379,82.9,3,0.7,451,5.9,2.67,11.4,73,7,8.4,31,19,61.3,2,2,18,60,133.5
8,Derek Carrier,# 85,TE,5,LV,1,1,100.0,14,14.0,0,87.9,90.3,68.3,64.0,67.1,5,3,60.0,1,20.0,0,0.0,1,20.0,3,60.0,18,18.0,4.67,-4.0,14,0,0.0,0,0,,0,0,2,1,118.8
9,Allen Robinson II,# 12,WR,17,CHI,157,108,68.8,"1,305",12.1,6,88.3,88.5,91.3,84.1,65.6,656,636,97.0,1,0.2,193,29.4,461,70.3,1,0.2,341,3.2,2.05,10.1,42,1,0.9,51,23,45.1,6,0,12,70,90.9
10,DeAndre Hopkins,# 10,WR,16,ARZ,154,115,74.7,"1,407",12.2,6,87.1,88.0,91.5,38.3,-,664,626,94.3,0,0.0,68,10.2,595,89.6,0,0.0,521,4.5,2.25,9.0,60,1,0.9,26,13,50.0,2,3,21,75,110.0
11,Adam Thielen,# 19,WR,15,MIN,106,74,69.8,925,12.5,14,87.4,87.9,77.6,82.2,-,536,498,92.9,0,0.0,145,27.1,389,72.6,2,0.4,225,3.0,1.86,12.5,51,5,6.3,27,11,40.7,4,0,4,51,120.5
12,George Kittle,# 85,TE,8,SF,63,48,76.2,634,13.2,2,84.9,87.7,36.6,79.5,75.1,268,223,83.2,36,13.4,86,32.1,17,6.3,159,59.3,299,6.2,2.84,7.9,44,8,14.3,13,8,61.5,2,0,2,32,104.9
13,Stephen Anderson,# 82,TE,13,LAC,10,8,80.0,106,13.3,0,87.0,87.0,76.5,70.1,67.8,71,54,76.1,17,23.9,17,23.9,4,5.6,50,70.4,81,10.1,1.96,4.0,23,0,0.0,0,0,,0,0,3,7,110.8
14,Corey Davis,# 84,WR,15,TEN,92,65,70.7,984,15.1,5,85.3,85.6,79.1,46.5,-,418,400,95.7,0,0.0,92,22.0,318,76.1,8,1.9,286,4.4,2.46,12.4,75,4,5.8,18,11,61.1,0,1,6,49,123.6
15,O.J. Howard,# 80,TE,4,TB,18,11,61.1,146,13.3,2,80.1,85.3,60.2,71.5,76.2,73,61,83.6,7,9.6,21,28.8,11,15.1,39,53.4,17,1.5,2.39,12.7,33,1,8.3,4,2,50.0,0,0,1,8,123.8
16,Will Fuller V,# 15,WR,11,HST,76,53,69.7,879,16.6,8,86.2,85.0,81.2,80.8,-,406,385,94.8,0,0.0,99,24.4,307,75.6,0,0.0,284,5.4,2.28,13.3,77,2,3.6,14,6,42.9,2,0,4,38,132.5
16,Keenan Allen,# 13,WR,14,LAC,138,100,72.5,992,9.9,8,84.9,85.0,90.1,58.1,73.3,555,520,93.7,2,0.4,287,51.7,265,47.7,2,0.4,444,4.4,1.91,7.3,28,2,2.0,32,18,56.3,5,3,11,61,96.6
18,Julio Jones,# 11,WR,9,ATL,65,51,78.5,771,15.1,3,86.3,84.9,72.2,79.3,-,314,296,94.3,0,0.0,71,22.6,243,77.4,0,0.0,229,4.5,2.60,12.7,44,3,5.6,12,6,50.0,0,0,8,36,131.5
19,Tyreek Hill,# 10,WR,18,KC,162,111,68.5,"1,631",14.7,15,84.5,84.8,50.4,86.3,66.3,763,719,94.2,1,0.1,447,58.6,295,38.7,9,1.2,617,5.6,2.27,12.9,75,13,10.5,19,9,47.4,2,0,24,72,126.9
20,Calvin Ridley,# 18,WR,15,ATL,137,90,65.7,"1,374",15.3,9,84.9,84.7,66.9,56.3,-,594,562,94.6,0,0.0,68,11.4,524,88.2,1,0.2,276,3.1,2.44,15.2,63,8,8.2,22,9,40.9,6,1,12,65,102.3
21,Cole Beasley,# 11,WR,18,BUF,119,96,80.7,"1,112",11.6,4,81.7,83.1,90.5,83.3,-,616,572,92.9,0,0.0,547,88.8,63,10.2,0,0.0,409,4.3,1.94,7.6,35,2,2.0,12,9,75.0,2,0,7,59,109.8
22,Antonio Brown,# 81,WR,11,TB,74,53,71.6,564,10.6,6,82.2,82.6,87.4,81.0,-,314,293,93.3,0,0.0,66,21.0,246,78.3,0,0.0,277,5.2,1.92,9.4,46,1,1.9,11,8,72.7,1,0,8,31,114.9
23,D.K. Metcalf,# 14,WR,17,SEA,135,88,65.2,"1,399",15.9,12,82.5,82.5,51.3,48.6,68.7,706,667,94.5,3,0.4,117,16.6,588,83.3,1,0.1,388,4.4,2.10,14.2,62,11,11.1,29,14,48.3,5,1,17,65,113.8
24,Daniel Brown,# 87,TE,4,NYJ,2,2,100.0,31,15.5,0,78.1,81.9,68.3,66.8,70.2,8,7,87.5,1,12.5,2,25.0,1,12.5,2,25.0,21,10.5,4.43,5.0,18,0,0.0,0,0,,0,0,1,2,118.8
25,Jarvis Landry,# 80,WR,17,CLV,114,84,73.7,952,11.3,5,84.8,81.8,70.3,55.6,76.3,505,467,92.5,4,0.8,290,57.4,209,41.4,2,0.4,415,4.9,2.04,7.9,40,6,6.7,22,14,63.6,2,2,9,52,105.6
26,Albert Okwuegbunam,# 85,TE,4,DEN,15,11,73.3,121,11.0,1,83.2,81.5,60.2,71.5,75.7,62,53,85.5,5,8.1,13,21.0,6,9.7,43,69.4,71,6.5,2.28,9.7,27,1,8.3,4,1,25.0,0,0,1,6,119.0
27,Tyron Johnson,# 83,WR,12,LAC,26,20,76.9,398,19.9,3,78.4,81.2,83.6,78.0,65.8,171,163,95.3,1,0.6,34,19.9,137,80.1,0,0.0,64,3.2,2.44,20.3,55,0,0.0,3,3,100.0,0,0,3,15,156.7
28,Deebo Samuel,# 19,WR,6,SF,44,33,75.0,391,11.8,1,79.8,81.1,60.5,79.2,70.2,180,173,96.1,1,0.6,54,30.0,121,67.2,2,1.1,401,12.2,2.26,2.2,35,3,8.3,2,1,50.0,2,0,10,19,90.2
29,Brandon Aiyuk,# 11,WR,12,SF,93,60,64.5,748,12.5,5,80.1,80.8,69.8,82.1,67.5,455,432,94.9,1,0.2,110,24.2,345,75.8,0,0.0,286,4.8,1.73,9.9,49,5,7.7,14,2,14.3,4,0,9,43,89.4
30,Brandin Cooks,# 13,WR,15,HST,115,81,70.4,"1,150",14.2,6,81.1,80.5,74.5,82.3,-,584,560,95.9,0,0.0,173,29.6,410,70.2,0,0.0,336,4.1,2.05,12.5,57,5,5.8,21,8,38.1,4,0,3,52,105.3
31,Noah Fant,# 87,TE,15,DEN,89,62,69.7,673,10.9,3,71.2,80.3,77.5,80.6,28.7,469,410,87.4,34,7.2,72,15.4,27,5.8,367,78.3,372,6.0,1.64,7.1,37,3,4.6,15,6,40.0,2,0,10,34,93.5
32,Jakobi Meyers,# 16,WR,14,NE,78,59,75.6,729,12.4,0,78.6,80.1,78.0,46.4,61.6,348,325,93.4,1,0.3,210,60.3,136,39.1,0,0.0,222,3.8,2.24,10.6,35,3,4.8,6,4,66.7,2,1,6,37,93.4
33,Pharaoh Brown,# 85,TE,12,HST,15,14,93.3,163,11.6,2,81.3,80.0,81.1,73.0,78.2,143,110,76.9,24,16.8,22,15.4,19,13.3,85,59.4,84,6.0,1.48,7.2,29,0,0.0,1,1,100.0,0,0,4,9,151.5
34,Kenny Golladay,# 19,WR,5,DET,32,20,62.5,338,16.9,2,81.6,79.8,46.8,75.0,-,150,137,91.3,0,0.0,27,18.0,123,82.0,0,0.0,42,2.1,2.47,14.7,48,2,9.1,13,10,76.9,0,0,0,16,119.0
35,Deonte Harty,# 11,WR,11,NO,33,28,84.8,268,9.6,1,79.9,79.5,76.3,35.3,-,142,138,97.2,0,0.0,71,50.0,68,47.9,0,0.0,189,6.8,1.94,3.9,40,1,3.4,0,0,,1,0,13,15,98.0
36,Mike Gesicki,# 88,TE,15,MIA,82,53,64.6,703,13.3,6,78.1,79.4,73.9,79.8,45.7,473,439,92.8,8,1.7,319,67.4,93,19.7,61,12.9,175,3.3,1.60,11.6,70,3,5.4,29,17,58.6,3,0,2,36,100.8
36,Sterling Shepard,# 87,WR,12,NYG,88,66,75.0,656,9.9,3,79.6,79.4,86.8,82.1,-,395,370,93.7,0,0.0,127,32.2,265,67.1,3,0.8,204,3.1,1.77,8.6,29,2,2.9,13,7,53.8,1,0,5,37,102.3
38,Jason Croom,# 81,TE,3,PHI,1,1,100.0,3,3.0,1,77.6,79.3,64.7,61.2,77.1,9,4,44.4,4,44.4,1,11.1,1,11.1,6,66.7,0,0.0,0.75,4.0,3,0,0.0,0,0,,0,0,0,1,118.8
39,DJ Moore,# 12,WR,15,CAR,113,66,58.4,"1,193",18.1,4,79.1,79.1,61.5,81.6,-,568,535,94.2,0,0.0,129,22.7,439,77.3,0,0.0,390,5.9,2.23,13.7,74,7,9.6,23,11,47.8,8,0,15,53,77.0
40,Mo Alie-Cox,# 81,TE,16,IND,40,35,87.5,426,12.2,2,80.9,79.0,80.1,28.4,81.8,242,204,84.3,20,8.3,59,24.4,38,15.7,143,59.1,196,5.6,2.09,7.0,45,1,2.8,10,7,70.0,2,1,1,21,106.9
40,Tee Higgins,# 85,WR,16,CIN,105,67,63.8,908,13.6,6,75.9,79.0,63.7,50.5,79.6,527,496,94.1,5,0.9,145,27.5,380,72.1,2,0.4,304,4.5,1.83,12.9,67,5,6.9,35,12,34.3,1,1,6,52,106.4
42,Michael Thomas,# 13,WR,9,NO,65,45,69.2,511,11.4,1,79.6,78.9,68.8,78.6,-,278,265,95.3,0,0.0,78,28.1,200,71.9,0,0.0,104,2.3,1.93,9.6,38,2,4.3,21,12,57.1,2,0,2,28,84.8
43,Isaiah McKenzie,# 19,WR,19,BUF,36,33,91.7,296,9.0,6,72.4,78.5,79.9,81.1,25.0,176,163,92.6,1,0.6,124,70.5,47,26.7,0,0.0,203,6.2,1.82,4.0,46,1,2.9,1,0,0.0,0,0,6,19,140.5
44,Rob Gronkowski,# 87,TE,20,TB,89,53,59.6,733,13.8,9,70.9,78.4,73.9,40.3,59.0,609,477,78.3,104,17.1,78,12.8,40,6.6,491,80.6,321,6.1,1.54,11.8,48,3,5.4,21,13,61.9,2,1,3,35,110.4
45,Cooper Kupp,# 10,WR,16,LA,126,96,76.2,"1,052",11.0,3,81.6,78.0,79.5,65.3,73.1,567,539,95.1,9,1.6,350,61.7,217,38.3,0,0.0,544,5.7,1.95,7.0,55,5,5.0,12,7,58.3,3,0,21,48,98.4
46,Anthony Firkser,# 86,TE,17,TEN,52,41,78.8,431,10.5,1,78.6,77.7,90.1,78.1,46.6,262,243,92.7,3,1.1,188,71.8,45,17.2,28,10.7,174,4.2,1.77,7.1,45,0,0.0,15,9,60.0,0,0,6,28,107.6
47,Amari Cooper,# 19,WR,16,DAL,128,92,71.9,"1,114",12.1,5,75.9,77.6,88.0,83.6,-,638,617,96.7,0,0.0,172,27.0,465,72.9,1,0.2,408,4.4,1.81,9.5,69,3,3.2,15,9,60.0,4,0,8,54,98.2
47,Terry McLaurin,# 17,WR,16,WAS,135,93,68.9,"1,193",12.8,4,78.5,77.6,89.1,56.8,-,679,649,95.6,0,0.0,212,31.2,466,68.6,0,0.0,500,5.4,1.84,9.9,68,3,3.1,23,11,47.8,4,1,14,56,93.8
47,Tyler Lockett,# 16,WR,17,SEA,136,102,75.0,"1,097",10.8,10,76.5,77.6,71.9,58.3,-,700,662,94.6,0,0.0,421,60.1,269,38.4,8,1.1,341,3.3,1.66,10.6,47,7,6.4,13,8,61.5,1,1,4,59,119.6
50,Jonnu Smith,# 81,TE,16,TEN,66,43,65.2,457,10.6,8,74.0,77.3,75.8,78.9,36.4,390,319,81.8,57,14.6,118,30.3,51,13.1,205,52.6,238,5.5,1.43,6.1,63,2,4.4,20,8,40.0,2,0,3,25,112.2
51,Mark Andrews,# 89,TE,16,BLT,105,66,62.9,770,11.7,7,76.5,77.2,49.6,45.9,75.2,435,414,95.2,6,1.4,274,63.0,39,9.0,118,27.1,211,3.2,1.86,10.5,39,8,10.8,30,15,50.0,2,2,5,40,99.3
52,DeVante Parker,# 11,WR,14,MIA,100,63,63.0,793,12.6,4,76.4,77.0,58.9,45.6,64.5,484,454,93.8,1,0.2,111,22.9,372,76.9,1,0.2,170,2.7,1.75,10.7,31,7,10.0,35,21,60.0,2,1,7,45,92.6
53,Cameron Brate,# 84,TE,19,TB,54,42,77.8,457,10.9,3,69.2,76.7,90.2,29.9,49.5,268,241,89.9,14,5.2,81,30.2,51,19.0,126,47.0,136,3.2,1.90,8.9,25,0,0.0,5,3,60.0,1,1,1,26,112.7
54,Dallas Goedert,# 88,TE,11,PHI,64,46,71.9,524,11.4,3,79.6,76.4,77.0,78.8,57.4,393,322,81.9,57,14.5,140,35.6,37,9.4,213,54.2,200,4.3,1.63,9.1,41,2,4.2,13,6,46.2,1,0,10,28,105.2
54,Curtis Samuel,# 10,WR,15,CAR,93,77,82.8,851,11.1,3,77.1,76.4,66.5,64.0,76.2,465,439,94.4,2,0.4,332,71.4,99,21.3,4,0.9,334,4.3,1.94,7.5,44,5,6.1,11,7,63.6,1,1,7,39,111.1
56,T.J. Hockenson,# 88,TE,16,DET,96,67,69.8,723,10.8,6,75.5,76.3,62.7,47.7,50.9,539,460,85.3,50,9.3,214,39.7,78,14.5,246,45.6,318,4.7,1.57,7.5,51,7,9.5,10,5,50.0,4,0,7,40,95.1
57,Jamison Crowder,# 82,WR,12,NYJ,83,59,71.1,699,11.8,6,75.3,76.2,82.9,80.8,-,414,390,94.2,0,0.0,298,72.0,112,27.1,1,0.2,330,5.6,1.79,8.2,69,2,3.3,10,3,30.0,3,0,7,32,105.4
58,Robbie Chosen,# 11,WR,16,CAR,134,95,70.9,"1,096",11.5,3,75.1,76.0,79.9,58.2,-,583,551,94.5,0,0.0,190,32.6,389,66.7,3,0.5,501,5.3,1.99,9.8,75,4,4.0,20,7,35.0,2,1,4,49,96.5
59,Chase Claypool,# 11,WR,17,PIT,110,67,60.9,932,13.9,11,75.5,75.8,74.5,24.0,-,532,491,92.3,0,0.0,119,22.4,411,77.3,2,0.4,342,5.1,1.90,13.6,84,4,5.6,28,10,35.7,0,3,9,43,121.5
60,Tim Patrick,# 81,WR,15,DEN,74,51,68.9,742,14.5,6,74.5,75.6,86.9,79.5,65.6,456,433,95.0,1,0.2,87,19.1,362,79.4,6,1.3,239,4.7,1.71,13.1,61,0,0.0,15,10,66.7,3,0,3,33,111.4
61,Tyler Boyd,# 83,WR,15,CIN,108,79,73.1,841,10.6,4,75.8,75.5,89.5,53.8,62.2,537,511,95.2,1,0.2,452,84.2,83,15.5,2,0.4,355,4.5,1.65,8.8,72,2,2.5,14,6,42.9,4,1,6,43,92.4
62,Tyrie Cleveland,# 16,WR,7,DEN,8,6,75.0,63,10.5,0,76.2,75.4,74.6,76.7,-,33,31,93.9,0,0.0,5,15.2,28,84.8,0,0.0,21,3.5,2.03,8.8,17,0,0.0,2,1,50.0,0,0,1,4,97.4
62,Irv Smith Jr.,# 84,TE,13,MIN,41,30,73.2,365,12.2,5,70.0,75.4,78.9,77.0,29.2,323,281,87.0,19,5.9,75,23.2,32,9.9,215,66.6,120,4.0,1.30,8.9,36,1,3.2,7,3,42.9,0,0,3,22,139.7
62,Danny Amendola,# 80,WR,14,DET,68,46,67.6,602,13.1,0,74.9,75.4,76.8,80.9,72.1,355,330,93.0,2,0.6,304,85.6,45,12.7,3,0.8,293,6.4,1.82,8.5,50,2,4.2,10,4,40.0,2,0,5,30,83.1
