RANK,PLAYER,#,POS,#G,TEAM,TGT,REC,REC%,YDS,Y/REC,TD,OFF,RECV,DROP,FUM,PBLK,PASS,RECV,RT%,PBLK,PB%,SLOT,SLT%,WIDE,WID%,INL,INL%,YAC,YAC/REC,Y/RR,ADOT,LNG,DRP,DRP%,CTT,CTC,CTC%,INT,FUM,MTF,1ST,RTG
1,Ricardo Lockette,# 83,WR,2,SEA,4,2,50.0,105,52.5,1,93.3,92.3,68.3,64.0,-,10,9,90.0,0,0.0,0,0.0,10,100.0,0,0.0,20,10.0,11.67,33.8,61,0,0.0,0,0,,0,0,0,2,135.4
2,Rob Gronkowski,# 87,TE,19,NE,143,107,74.8,"1,585",14.8,20,92.9,91.9,69.8,84.1,61.4,757,646,85.3,81,10.7,367,48.5,40,5.3,338,44.6,743,6.9,2.45,9.9,52,8,7.0,0,0,,4,0,15,83,138.5
3,Calvin Johnson,# 81,WR,17,DET,166,108,65.1,"1,896",17.6,18,91.2,91.0,79.5,60.0,-,766,729,95.2,0,0.0,152,19.8,614,80.2,0,0.0,617,5.7,2.60,15.0,73,7,6.1,0,0,,4,1,19,87,130.0
4,Jimmy Graham,# 80,TE,18,NO,163,110,67.5,"1,459",13.3,14,90.1,90.5,74.9,60.5,55.6,712,623,87.5,61,8.6,281,39.5,139,19.5,279,39.2,529,4.8,2.34,9.8,66,7,6.0,0,0,,5,1,11,83,111.5
5,Jeff King,# 87,TE,16,ARZ,33,27,81.8,271,10.0,3,89.5,89.9,86.5,75.9,51.0,254,151,59.4,93,36.6,17,6.7,4,1.6,208,81.9,138,5.1,1.79,6.4,48,0,0.0,0,0,,0,0,6,13,131.2
5,Malcom Floyd,# 80,WR,12,SD,68,43,63.2,856,19.9,5,89.2,89.9,83.9,78.5,-,358,336,93.9,0,0.0,63,17.6,295,82.4,0,0.0,191,4.4,2.55,17.0,52,1,2.3,0,0,,1,0,0,41,125.2
7,Hakeem Nicks,# 88,WR,19,NYG,168,104,61.9,"1,637",15.7,11,89.2,89.2,68.2,58.6,-,775,741,95.6,0,0.0,44,5.7,731,94.3,0,0.0,562,5.4,2.21,13.6,72,8,7.1,0,0,,5,1,15,72,103.7
8,Larry Fitzgerald,# 11,WR,16,ARZ,151,80,53.0,"1,411",17.6,8,89.8,89.1,84.9,82.2,-,661,628,95.0,0,0.0,143,21.6,516,78.1,0,0.0,505,6.3,2.25,13.5,73,3,3.6,0,0,,9,0,14,62,78.0
9,Jesse Holley,# 16,WR,8,DAL,7,7,100.0,169,24.1,0,90.4,88.8,75.6,69.5,-,36,35,97.2,0,0.0,6,16.7,30,83.3,0,0.0,59,8.4,4.83,15.7,77,0,0.0,0,0,,0,0,0,6,118.8
10,Marques Colston,# 12,WR,16,NO,124,96,77.4,"1,394",14.5,9,89.5,88.3,83.9,30.0,65.7,599,569,95.0,1,0.2,318,53.1,281,46.9,0,0.0,320,3.3,2.45,12.1,50,3,3.0,0,0,,1,2,3,71,134.3
