RANK,PLAYER,#,POS,#G,TEAM,TGT,REC,REC%,YDS,Y/REC,TD,OFF,RECV,DROP,FUM,PBLK,PASS,RECV,RT%,PBLK,PB%,SLOT,SLT%,WIDE,WID%,INL,INL%,YAC,YAC/REC,Y/RR,ADOT,LNG,DRP,DRP%,CTT,CTC,CTC%,INT,FUM,MTF,1ST,RTG
1,Tyreek Hill,# 10,WR,18,MIA,181,126,69.6,"1,779",14.1,7,92.1,92.0,89.7,67.1,-,614,579,94.3,0,0.0,260,42.3,334,54.4,7,1.1,524,4.2,3.07,12.6,64,5,3.8,26,13,50.0,7,1,12,81,97.8
2,Travis Kelce,# 87,TE,20,KC,182,137,75.3,"1,596",11.6,16,91.3,91.6,88.2,51.7,73.1,776,703,90.6,28,3.6,343,44.2,226,29.1,202,26.0,772,5.6,2.27,7.5,52,6,4.2,22,10,45.5,3,2,25,92,123.8
3,Jalen Nailor,# 83,WR,6,MIN,12,9,75.0,179,19.9,1,91.6,90.8,77.3,70.6,-,31,31,100.0,0,0.0,7,22.6,22,71.0,0,0.0,68,7.6,5.77,12.4,47,0,0.0,1,1,100.0,1,0,1,7,109.7
4,Davante Adams,# 17,WR,17,LV,168,100,59.5,"1,516",15.2,14,90.1,90.5,76.9,59.2,66.1,657,618,94.1,1,0.2,197,30.0,457,69.6,0,0.0,502,5.0,2.45,12.8,60,6,5.7,34,15,44.1,6,1,16,66,102.2
5,Amon-Ra St. Brown,# 14,WR,16,DET,139,106,76.3,"1,161",11.0,6,90.7,90.4,88.1,84.9,64.9,511,483,94.5,1,0.2,306,59.9,198,38.7,2,0.4,544,5.1,2.40,6.7,49,4,3.6,13,5,38.5,1,0,9,68,111.8
6,Justin Jefferson,# 18,WR,18,MIN,185,135,73.0,"1,856",13.7,8,90.2,90.2,83.1,86.0,-,777,729,93.8,0,0.0,225,29.0,544,70.0,0,0.0,638,4.7,2.55,10.7,64,7,4.9,40,22,55.0,5,0,11,83,107.8
7,Ben Ellefson,# 82,TE,4,MIN,3,3,100.0,26,8.7,0,79.1,89.5,70.5,65.8,72.2,20,6,30.0,13,65.0,0,0.0,1,5.0,18,90.0,10,3.3,4.33,5.3,12,0,0.0,0,0,,0,0,0,2,102.8
8,Stefon Diggs,# 14,WR,18,BUF,166,119,71.7,"1,578",13.3,11,89.1,89.0,69.7,62.0,-,695,658,94.7,0,0.0,238,34.2,457,65.8,0,0.0,440,3.7,2.40,12.6,53,9,7.0,26,12,46.2,1,1,15,78,121.0
9,A.J. Brown,# 11,WR,20,PHI,158,101,63.9,"1,642",16.3,12,87.7,88.9,68.5,34.4,-,702,665,94.7,0,0.0,181,25.8,520,74.1,0,0.0,619,6.1,2.47,13.0,78,7,6.5,32,15,46.9,3,2,20,67,116.1
10,Cooper Kupp,# 10,WR,9,LA,95,75,78.9,812,10.8,6,86.3,88.1,90.4,53.5,77.6,351,338,96.3,3,0.9,195,55.6,152,43.3,0,0.0,419,5.6,2.40,7.5,75,1,1.3,13,7,53.8,4,2,13,42,105.8
