RANK,PLAYER,#,POS,#G,TEAM,TGT,REC,REC%,YDS,Y/REC,TD,OFF,RECV,DROP,FUM,PBLK,PASS,RECV,RT%,PBLK,PB%,SLOT,SLT%,WIDE,WID%,INL,INL%,YAC,YAC/REC,Y/RR,ADOT,LNG,DRP,DRP%,CTT,CTC,CTC%,INT,FUM,MTF,1ST,RTG
1,Tyreek Hill,# 10,WR,17,MIA,175,124,70.9,"1,861",15.0,14,93.4,93.8,63.6,64.4,-,521,500,96.0,0,0.0,195,37.4,315,60.5,5,1.0,689,5.6,3.72,11.3,78,10,7.5,23,7,30.4,5,1,27,84,120.2
2,Brandon Aiyuk,# 11,WR,19,SF,120,84,70.0,"1,491",17.8,8,91.5,91.7,86.1,53.9,66.8,593,563,94.9,2,0.3,146,24.6,446,75.2,1,0.2,390,4.6,2.65,14.6,76,2,2.3,18,9,50.0,3,1,10,70,124.0
3,Amon-Ra St. Brown,# 14,WR,19,DET,190,141,74.2,"1,789",12.7,11,91.2,91.3,88.5,67.4,39.2,725,691,95.3,4,0.6,401,55.3,316,43.6,0,0.0,802,5.7,2.59,8.0,70,5,3.4,29,15,51.7,3,1,20,93,115.9
4,Justin Jefferson,# 18,WR,10,MIN,98,68,69.4,"1,074",15.8,5,91.1,91.2,86.5,48.1,-,391,369,94.4,0,0.0,118,30.2,272,69.6,0,0.0,263,3.9,2.91,13.5,52,2,2.9,22,9,40.9,3,1,10,51,109.8
4,Nico Collins,# 12,WR,17,HST,126,91,72.2,"1,461",16.1,9,91.4,91.2,83.5,83.3,-,497,470,94.6,0,0.0,100,20.1,396,79.7,1,0.2,646,7.1,3.11,11.4,75,4,4.2,17,8,47.1,2,1,21,62,127.8
4,CeeDee Lamb,# 88,WR,18,DAL,197,144,73.1,"1,859",12.9,12,90.9,91.2,89.3,50.6,-,742,692,93.3,0,0.0,435,58.6,299,40.3,2,0.3,709,4.9,2.69,10.4,92,6,4.0,30,11,36.7,2,3,19,87,118.4
7,Jaylen Waddle,# 17,WR,15,MIA,109,74,67.9,"1,045",14.1,4,90.3,90.6,60.6,82.2,-,430,415,96.5,0,0.0,106,24.7,318,74.0,1,0.2,423,5.7,2.52,10.7,60,7,8.6,14,6,42.9,4,0,8,49,95.5
8,Nick Muse,# 34,TE,1,MIN,1,1,100.0,22,22.0,0,89.2,90.4,64.7,61.2,-,1,1,100.0,0,0.0,0,0.0,0,0.0,1,100.0,10,10.0,22.00,12.0,22,0,0.0,0,0,,0,0,0,1,118.8
8,A.J. Brown,# 11,WR,17,PHI,152,106,69.7,"1,456",13.7,7,90.0,90.4,88.3,35.4,80.3,607,577,95.1,3,0.5,145,23.9,460,75.8,1,0.2,484,4.6,2.52,12.3,59,4,3.6,31,14,45.2,4,2,19,70,104.5
10,DJ Moore,# 02,WR,17,CHI,132,96,72.7,"1,364",14.2,8,89.3,89.5,90.5,57.4,-,615,591,96.1,0,0.0,133,21.6,480,78.0,0,0.0,550,5.7,2.31,11.9,58,2,2.0,28,15,53.6,2,1,16,64,119.6
